Rack	Pos	PopID	Mom	Indiv	Trt	Origin	Wilt	TotWilt	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	ID
US022.17.i	1	49	US022	17	i	drought	inv	1	3	NA	12	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US022.17.i
RU004.7.f	1	50	RU004	7	f	drought	nat	1	3	NA	8	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU004.7.f
US001.14.f	2	1	US001	14	f	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.14.f
HU001.14.f	2	2	HU001	14	f	nut def	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.14.f
US018.11.f	2	3	US018	11	f	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US018.11.f
UA002.13.c	2	4	UA002	13	c	nut def	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA002.13.c
US013.14.a	2	6	US013	14	a	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US013.14.a
CA008.6.g	2	7	CA008	6	g	nut def	inv	NA	NA	16	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.6.g
TR005.9.c	2	9	TR005	9	c	nut def	nat	NA	NA	16	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR005.9.c
RO005.14.g	2	10	RO005	14	g	nut def	nat	NA	NA	16	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.14.g
UA004.7.f	2	12	UA004	7	f	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.7.f
US021.8.i	2	13	US021	8	i	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US021.8.i
GR002.25.g	2	14	GR002	25	g	nut def	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR002.25.g
TR001.1.f	2	15	TR001	1	f	nut def	nat	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.1.f
GR003.12.b	2	16	GR003	12	b	nut def	nat	NA	NA	16	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.12.b
RO004.21.a	2	17	RO004	21	a	nut def	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO004.21.a
RO001.13.h	2	18	RO001	13	h	nut def	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.13.h
RU008.17.d	2	19	RU008	17	d	nut def	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.17.d
CA001.6.k	2	20	CA001	6	k	nut def	inv	NA	NA	14	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.6.k
