Rack	Pos	PopID	Mom	Indiv	Trt	Origin	Wilt	TotWilt	Yellow	Death	FloatDate	Note	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	ID
UA004.27.j	5	42	UA004	27	j	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.27.j
RO002.12.c	5	43	RO002	12	c	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.12.c
UA001.11.g	5	44	UA001	11	g	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA001.11.g
US001.20.b	5	45	US001	20	b	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.20.b
HU001.28.a	5	47	HU001	28	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.28.a
RU005.11.b	5	48	RU005	11	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU005.11.b
US003.6.f	5	49	US003	6	f	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.6.f
US015.13.h	5	50	US015	13	h	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.13.h
RU008.18.i	6	1	RU008	18	i	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.18.i
US003.19.g	6	2	US003	19	g	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.19.g
RO002.13.d	6	6	RO002	13	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.13.d
UA003.9A.b	6	8	UA003	9A	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.9A.b
US015.3.d	6	10	US015	3	d	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.3.d
CA001.6.c	6	12	CA001	6	c	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.6.c
GR002.8.h	6	15	GR002	8	h	control	nat	NA	NA	NA	NA	NA		11	18	1	20.4	NA	38	1	19	NA	69	1	26.5		53	white		GR002.8.h
RO004.21.i	6	16	RO004	21	i	control	nat	NA	NA	NA	NA	NA		38	NA	NA	NA	NA	38	1	22.4	NA	69	1	54		NA			RO004.21.i
RU001.2.i	6	18	RU001	2	i	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.2.i
TR004.14.d	6	20	TR004	14	d	control	nat	NA	NA	NA	NA	NA		29	NA	NA	NA	NA	38	1	54.9	NA	69	1	68		63	purple	spotted	TR004.14.d
RO005.23.g	6	21	RO005	23	g	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.23.g
TR003.24.g	6	25	TR003	24	g	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR003.24.g
HU001.28.h	6	26	HU001	28	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.28.h
RO003.9.g	6	27	RO003	9	g	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO003.9.g
GR003.9.a	6	32	GR003	9	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.9.a
US002.17.d	6	33	US002	17	d	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.17.d
US021.8.g	6	34	US021	8	g	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US021.8.g
BG001.25.a	6	36	BG001	25	a	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	16		NA			BG001.25.a
RU004.7.c	6	38	RU004	7	c	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU004.7.c
US022.42.a	6	39	US022	42	a	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US022.42.a
US014.16.e	6	40	US014	16	e	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.16.e
GR001.24.e	6	41	GR001	24	e	control	nat	NA	NA	NA	NA	NA		38	NA	NA	NA	NA	38	1	6.7	NA	69	1	45		NA			GR001.24.e
UA005.7.a	6	44	UA005	7	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA005.7.a
TR001.19.f	6	45	TR001	19	f	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	12.5		NA			TR001.19.f
UA004.27.e	6	46	UA004	27	e	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.27.e
RO001.21.f	6	47	RO001	21	f	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.21.f
US001.23.c	6	48	US001	23	c	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.23.c
CA008.5.g	6	50	CA008	5	g	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.5.g
RO001.6.c	7	1	RO001	6	c	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.6.c
RU004.6.a	7	4	RU004	6	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU004.6.a
UA004.18.h	7	5	UA004	18	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.18.h
CA001.2.a	7	6	CA001	2	a	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.2.a
US002.22.i	7	7	US002	22	i	control	inv	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	47		80	white		US002.22.i
US020.24.f	7	8	US020	24	f	control	inv	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	8		NA			US020.24.f
GR003.9.h	7	9	GR003	9	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.9.h
GR001.6.e	7	11	GR001	6	e	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR001.6.e
US026.15.c	7	12	US026	15	c	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US026.15.c
RU001.10.h	7	15	RU001	10	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.10.h
TR005.9.d	7	16	TR005	9	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR005.9.d
US003.20.j	7	17	US003	20	j	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.20.j
UA001.18.e	7	18	UA001	18	e	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	34		NA			UA001.18.e
US023.41.c	7	19	US023	41	c	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US023.41.c
RO005.23.d	7	21	RO005	23	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.23.d
UA008.25.b	7	26	UA008	25	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA008.25.b
HU001.24.h	7	27	HU001	24	h	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	33.5		NA			HU001.24.h
BG001.22.h	7	29	BG001	22	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			BG001.22.h
UA002.18.d	7	30	UA002	18	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA002.18.d
RO003.21.j	7	33	RO003	21	j	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO003.21.j
GR002.17.d	7	35	GR002	17	d	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	32.5		NA			GR002.17.d
US015.13.j	7	36	US015	13	j	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.13.j
CA008.4.h	7	38	CA008	4	h	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.4.h
RO002.12.a	7	39	RO002	12	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.12.a
RU008.19.d	7	40	RU008	19	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.19.d
US001.20.c	7	41	US001	20	c	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.20.c
RO004.3.e	7	42	RO004	3	e	control	nat	NA	NA	NA	NA	NA		39	NA	NA	NA	NA	39	1	25.6	NA	69	1	34		NA			RO004.3.e
US012.29.c	7	43	US012	29	c	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US012.29.c
US018.31.b	7	44	US018	31	b	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US018.31.b
TR001.10.j	7	47	TR001	10	j	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.10.j
RU005.5.b	7	49	RU005	5	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU005.5.b
UA003.9A.j	7	50	UA003	9A	j	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.9A.j
US001.14.c	9	2	US001	14	c	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.14.c
RO001.28.b	9	4	RO001	28	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.28.b
US022.23.b	9	5	US022	23	b	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US022.23.b
RO002.15.f	9	6	RO002	15	f	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.15.f
US014.22.a	9	8	US014	22	a	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.22.a
RO004.13.e	9	9	RO004	13	e	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO004.13.e
RU005.7.c	9	10	RU005	7	c	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	10		NA			RU005.7.c
US012.35.h	9	15	US012	35	h	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US012.35.h
TR001.24.d	9	17	TR001	24	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.24.d
RO003.9.m	9	19	RO003	9	m	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO003.9.m
GR003.10.a	9	20	GR003	10	a	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.10.a
UA002.15.d	9	21	UA002	15	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA002.15.d
TR003.15.h	9	26	TR003	15	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR003.15.h
US015.3.g	9	27	US015	3	g	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.3.g
CA001.4.f	9	28	CA001	4	f	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.4.f
RO005.25.l	9	31	RO005	25	l	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.25.l
CA007.4.b	9	32	CA007	4	b	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA007.4.b
RU003.1.e	9	33	RU003	1	e	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU003.1.e
RU001.6.h	9	34	RU001	6	h	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.6.h
BG001.29.d	9	35	BG001	29	d	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			BG001.29.d
RU008.17.c	9	36	RU008	17	c	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.17.c
UA003.8.i	9	38	UA003	8	i	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.8.i
RU004.5.b	9	39	RU004	5	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU004.5.b
US023.34.b	9	42	US023	34	b	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US023.34.b
UA005.7.b	9	43	UA005	7	b	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA005.7.b
HU001.28.g	9	44	HU001	28	g	control	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	34.5		NA			HU001.28.g
UA004.27.c	9	45	UA004	27	c	control	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.27.c
CA008.6.h	9	47	CA008	6	h	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.6.h
US003.20.b	9	48	US003	20	b	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.20.b
GR002.8.b	9	49	GR002	8	b	control	nat	NA	NA	NA	NA	NA		29	NA	NA	NA	NA	NA	NA	NA	NA	69	1	34.5		NA			GR002.8.b
US002.22.o	9	50	US002	22	o	control	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.22.o
TR004.14.e	10	2	TR004	14	e	cut	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	4.5		NA			TR004.14.e
US003.28.c	10	3	US003	28	c	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.28.c
US002.5.b	10	5	US002	5	b	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.5.b
BG001.17.j	10	6	BG001	17	j	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			BG001.17.j
GR001.6.b	10	10	GR001	6	b	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR001.6.b
CA007.4.a	10	11	CA007	4	a	cut	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA007.4.a
RO002.18.f	10	14	RO002	18	f	cut	nat	NA	NA	NA	NA	NA		50	NA	NA	NA	NA	50	1	7.5	NA	69	1	41		NA			RO002.18.f
GR003.12.d	10	17	GR003	12	d	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.12.d
UA006.14.e	10	19	UA006	14	e	cut	nat	NA	NA	NA	NA	NA		50	NA	NA	NA	NA	50	1	26	NA	69	1	32.6		NA			UA006.14.e
RO003.21.e	10	20	RO003	21	e	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO003.21.e
GR002.13.c	10	23	GR002	13	c	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR002.13.c
TR001.19.c	10	24	TR001	19	c	cut	nat	NA	NA	NA	NA	NA		29	NA	NA	NA	NA	38	1	21.1	NA	69	1	21.1		NA		bolt cut	TR001.19.c
US022.41.f	10	26	US022	41	f	cut	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US022.41.f
RU008.19.k	10	27	RU008	19	k	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU008.19.k
RO004.13.d	10	30	RO004	13	d	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO004.13.d
UA004.15.h	10	31	UA004	15	h	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA004.15.h
US001.3.g	10	33	US001	3	g	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.3.g
US015.2.b	10	36	US015	2	b	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.2.b
UA003.8.a	10	39	UA003	8	a	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.8.a
RU001.10.i	10	40	RU001	10	i	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU001.10.i
CA001.2.j	10	41	CA001	2	j	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.2.j
RO005.17.c	10	42	RO005	17	c	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.17.c
RO001.13.d	10	43	RO001	13	d	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.13.d
US026.23.b	10	44	US026	23	b	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US026.23.b
HU001.24.f	10	45	HU001	24	f	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.24.f
RU002.6.b	10	47	RU002	6	b	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU002.6.b
UA008.18.e	10	48	UA008	18	e	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA008.18.e
US014.22.h	10	49	US014	22	h	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.22.h
UA002.18.e	10	50	UA002	18	e	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA002.18.e
RO005.25.f	11	4	RO005	25	f	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO005.25.f
UA003.9A.a	11	5	UA003	9A	a	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA003.9A.a
CA001.2.c	11	6	CA001	2	c	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA001.2.c
TR003.2.f	11	8	TR003	2	f	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR003.2.f
HU001.14.k	11	9	HU001	14	k	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			HU001.14.k
US001.3.i	11	10	US001	3	i	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US001.3.i
RU008.21.d	11	11	RU008	21	d	cut	nat	NA	NA	NA	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	8.5		NA			RU008.21.d
CA007.20.a	11	12	CA007	20	a	cut	inv	NA	NA	15	NA	NA		50	NA	NA	NA	NA	50	1	18	NA	69	1	31		NA			CA007.20.a
US022.42.k	11	13	US022	42	k	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US022.42.k
GR003.3.g	11	14	GR003	3	g	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			GR003.3.g
US011.8.b	11	15	US011	8	b	cut	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US011.8.b
US020.27.b	11	17	US020	27	b	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US020.27.b
TR001.10.h	11	20	TR001	10	h	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR001.10.h
US023.41.i	11	21	US023	41	i	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US023.41.i
GR002.2.j	11	23	GR002	2	j	cut	nat	NA	NA	15	NA	NA		15	18	1	13.7	NA	39	1	39.8	NA	69	1	42		63	white		GR002.2.j
US002.24.b	11	24	US002	24	b	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US002.24.b
UA005.3.b	11	25	UA005	3	b	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA005.3.b
RU005.11.e	11	26	RU005	11	e	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RU005.11.e
US003.6.i	11	27	US003	6	i	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US003.6.i
US012.31.f	11	29	US012	31	f	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US012.31.f
RO004.20.d	11	30	RO004	20	d	cut	nat	NA	NA	15	NA	NA		69	NA	NA	NA	NA	NA	NA	NA	NA	69	1	8.5		NA			RO004.20.d
RO002.22.f	11	32	RO002	22	f	cut	nat	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO002.22.f
RO003.11.e	11	34	RO003	11	e	cut	nat	NA	NA	NA	NA	NA		29	NA	NA	NA	NA	39	1	28.4	NA	69	1	37		NA			RO003.11.e
US014.17.c	11	35	US014	17	c	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US014.17.c
US018.31.a	11	36	US018	31	a	cut	inv	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US018.31.a
US015.3.k	11	37	US015	3	k	cut	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US015.3.k
UA006.14.b	11	38	UA006	14	b	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA006.14.b
RO001.21.d	11	39	RO001	21	d	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			RO001.21.d
UA001.22.c	11	41	UA001	22	c	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			UA001.22.c
CA008.5.a	11	43	CA008	5	a	cut	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			CA008.5.a
US026.24.c	11	45	US026	24	c	cut	inv	NA	NA	15	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			US026.24.c
TR004.2.b	11	47	TR004	2	b	cut	nat	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			TR004.2.b
