PopID	Rack	Pos	Mom	Indiv	Origin	Trt	Wilt	TotWilt	Death	Note	ID	LfCount1	LfLgth1	LfWdth1	LfCount1.sq	LfLgth1.log	LfWdth1.log	Latitude	Longitude	lxw
32	GR003	1	5	10	f	nat	drought	3	6	13		GR003.10.f	10	13.8	3.8	3.16227766016838	2.62466859216316	1.33500106673234	40.8508333333333	25.7930555555556	52.44
33	GR003	37	42	9	b	nat	drought	3	7	12		GR003.9.b	10	12	2	3.16227766016838	2.484906649788	0.693147180559945	40.8508333333333	25.7930555555556	24
34	GR003	19	34	10	h	nat	drought	3	6	13		GR003.10.h	7	15.3	3.5	2.64575131106459	2.72785282839839	1.25276296849537	40.8508333333333	25.7930555555556	53.55
35	GR003	17	5	17	g	nat	drought	3	6	12		GR003.17.g	8	16.4	2.2	2.82842712474619	2.79728133483015	0.78845736036427	40.8508333333333	25.7930555555556	36.08
36	GR003	46	32	3	f	nat	drought	5	8	12		GR003.3.f	10	14.5	2.1	3.16227766016838	2.67414864942653	0.741937344729377	40.8508333333333	25.7930555555556	30.45
37	GR003	50	17	3	c	nat	drought	10	13	18		GR003.3.c	5	12.2	2.3	2.23606797749979	2.50143595173921	0.832909122935104	40.8508333333333	25.7930555555556	28.06
38	GR003	48	47	9	g	nat	drought	3	4	8		GR003.9.g	8	14.5	3.1	2.82842712474619	2.67414864942653	1.1314021114911	40.8508333333333	25.7930555555556	44.95
39	HU001	46	9	5	g	nat	drought	7	12	13		HU001.5.g	6	11.5	1.6	2.44948974278318	2.4423470353692	0.470003629245736	47.6419444444444	18.7825	18.4
40	HU001	19	30	24	k	nat	drought	3	5	12		HU001.24.k	12	17.2	4	3.46410161513775	2.84490938381941	1.38629436111989	47.6419444444444	18.7825	68.8
41	HU001	50	32	28	j	nat	drought	5	7	11		HU001.28.j	12	15.1	4.6	3.46410161513775	2.71469474382088	1.52605630349505	47.6419444444444	18.7825	69.46
42	HU001	17	28	14	m	nat	drought	3	6	12		HU001.14.m	9	17	4.1	3	2.83321334405622	1.41098697371026	47.6419444444444	18.7825	69.7
43	HU001	1	40	14	a	nat	drought	2	5	11		HU001.14.a	10	12.6	4.2	3.16227766016838	2.53369681395743	1.43508452528932	47.6419444444444	18.7825	52.92
44	HU001	48	38	24	c	nat	drought	3	5	12		HU001.24.c	8	17.2	5	2.82842712474619	2.84490938381941	1.6094379124341	47.6419444444444	18.7825	86
