ID	Rack	Pos	PopID	Mom	Indiv	Origin	Treat	MsrDay	MsrDate	LfCount	MaxLfLgth	MaxLfWdth	Bolted	BoltCount	MaxBoltHt	BoltHt1	BoltHt2	BoltHt3	BoltHt4	BoltHt5	BoltHt6	BoltHt7	FlrHeadCount	Notes	HarvestDay	HarvestDate	CrownDiam.mm	ShootMass.g	RootMass.g	BiomassNotes			
CA001.2.j	10	41	CA001	2	j	inv	cut	76	29-Nov-09	18			n												76	29-Nov-09	5.51		2.015				
CA001.3.a	36	11	CA001	3	a	inv	nut def	75	28-Nov-09	21	19.7	5.6	n												77	30-Nov-09	5.71	1.918	4.702				
CA001.3.b	26	20	CA001	3	b	inv	nut def	80	3-Dec-09	12	15.1	5.6	n												80	3-Dec-09	5.52	1.486	11.894				
CA001.3.f	47	14	CA001	3	f	inv	nut def	80	3-Dec-09	12	20.1	5.2	n												80	3-Dec-09	4.82	1.371	2.715				
CA001.3.g	5	6	CA001	3	g	inv	cont	85	8-Dec-09	12	28.1	6	y	1	10.5	10.5							0		86	9-Dec-09	7.64	3.867	1.292				
CA001.3.h	F1	29	CA001	3	h	inv	flood	71	24-Nov-09	11	15.3	3.4	n												91	14-Dec-09	8.82	1.355	0.8				
CA001.3.j	16	18	CA001	3	j	inv	cut	77	30-Nov-09	34			y	1	6.5	6.5							0		77	30-Nov-09	6.58		2.563				
CA001.4.a	29	19	CA001	4	a	inv	cont	85	8-Dec-09	32	25.5	5.5	n												85	8-Dec-09	8.39	3.988	3.236				
CA001.4.c	13	5	CA001	4	c	inv	nut def	78	1-Dec-09	15	15.6	4.2	n												78	1-Dec-09	6.2	1.337	2.651				
CA001.4.f	9	28	CA001	4	f	inv	cont	85	8-Dec-09	27	29.4	4.8	n												85	8-Dec-09	9.54	5.299	2.577				
CA001.4.g	30	45	CA001	4	g	inv	cont	86	9-Dec-09	9	37.6	7	n												86	9-Dec-09	8.04	2.456	1.651				
CA001.4.j	38	4	CA001	4	j	inv	cut	76	29-Nov-09	27			n												76	29-Nov-09	5.27		1.291				
CA001.6.a	33	11	CA001	6	a	inv	cut	76	29-Nov-09	38			n												76	29-Nov-09	9.32		2.362				
CA001.6.c	6	12	CA001	6	c	inv	cont	86	9-Dec-09	35	27.7	7.4	n												86	9-Dec-09	7.19	3.184	1.751				
CA001.6.e	34	42	CA001	6	e	inv	cont	84	7-Dec-09	23	24.5	5.5	n												84	7-Dec-09	8.21	3.346	2.346				
CA001.6.h	41	2	CA001	6	h	inv	cut	76	29-Nov-09	26			n												76	29-Nov-09	8.53		1.346				
CA001.6.i	24	13	CA001	6	i	inv	cont	85	8-Dec-09	15	24	7.3	n												85	8-Dec-09	9.47	4.55	4.419				
CA001.6.k	2	20	CA001	6	k	inv	nut def	78	1-Dec-09	14	20.7	3.7	n												78	1-Dec-09	6.1	1.304	2.757				
CA001.7.a	F1	50	CA001	7	a	inv	flood	71	24-Nov-09	57	16.6	3.9	n												91	14-Dec-09	13.91	2.575	1.419				
CA001.7.b	20	20	CA001	7	b	inv	nut def	80	3-Dec-09	16	15.8	3.6	n												80	3-Dec-09	4.76	1.738	4.295				
CA001.7.d	25	26	CA001	7	d	inv	cont	85	8-Dec-09	18	29	6.2	n												85	8-Dec-09	8.49	4.249	5.928				
CA001.7.e	27	16	CA001	7	e	inv	nut def	80	3-Dec-09	15	14.4	3.1	n												82	5-Dec-09	5.67	0.963	2.624				
CA001.7.h	40	29	CA001	7	h	inv	cont	84	7-Dec-09	28	21.8	4.9	n												84	7-Dec-09	8.72	5.503	12.814	#NAME?			
CA001.7.i	12	32	CA001	7	i	inv	cont	86	9-Dec-09	19	23.8	6.4	n												85	9-Dec-09	10.31	4.127	2.063				
CA007.1.a	13	46	CA007	1	a	inv	nut def	78	1-Dec-09	19	13.9	4.8	n												78	1-Dec-09	6.58	1.779	2.897				
CA007.2.a	11	2	CA007	2	a	inv	cut	77	30-Nov-09	13			y	1	32.5	32.5							32		77	30-Nov-09	6.79		1.435				
CA007.2.b	20	4	CA007	2	b		nut def	80	3-Dec-09	18	14.7	4.1	n												80	3-Dec-09	6.43	1.217	2.649				
CA007.2.d	18	17	CA007	2	d	inv	cont	85	8-Dec-09	15	22.4	6.5	n												85	8-Dec-09	8.59	4.132	4.682				
CA007.20.a	11	12	CA007	20	a	inv	cut																	missing									
CA007.3.a	5	7	CA007	3	a	inv	cont	85	8-Dec-09	19	26.7	6.1	n												86	9-Dec-09	8.64	2.476	1.078				
CA007.3.c	2	25	CA007	3	c	inv	nut def	78	1-Dec-09	18	14.6	5	n												78	1-Dec-09	6.97	1.195	2.704				
CA007.4.a	10	11	CA007	4	a	inv	cut	76	29-Nov-09	36			n												76	29-Nov-09	10.34		1.682				
CA007.4.b	9	32	CA007	4	b	inv	cont	85	8-Dec-09	21	21.2	6.4	n												85	8-Dec-09	8.56	4.057	4.615				
CA008.2.a	13	44	CA008	2	a	inv	nut def	78	1-Dec-09	19	12.1	3.2	n												78	1-Dec-09	6.11	1.071	3.741				
CA008.2.b	12	45	CA008	2	b	inv	cont	86	9-Dec-09	17	27.7	7.1	n												85	9-Dec-09	6.33	1.891	0.792				
CA008.2.c	49	20	CA008	2	c	inv	nut def	75	28-Nov-09	15	22.1	4.4	n												77	30-Nov-09	5.43	1.647	3.257				
CA008.2.d	16	33	CA008	2	d	inv	cut	77	30-Nov-09	28			n												77	30-Nov-09	6.71		2.388				
CA008.4.b	33	49	CA008	4	b	inv	cut	76	29-Nov-09	39			y	1	4	4							0		76	29-Nov-09	6.68		1.174				
CA008.4.c	27	20	CA008	4	c	inv	nut def	80	3-Dec-09	18	18.5	5.7	n												82	5-Dec-09	4.95	1.743	2.503				
CA008.4.f	41	26	CA008	4	f	inv	cut	76	29-Nov-09	11			y	1	15	15							0		76	29-Nov-09	4.98		0.278				
CA008.4.g	40	36	CA008	4	g	inv	cont	84	7-Dec-09	19	26.7	6.1	n												84	7-Dec-09	7.71	3.323	1.546				
CA008.4.h	7	38	CA008	4	h	inv	cont	86	9-Dec-09	13	22.5	6.2	n												86	9-Dec-09	7.32	1.979	0.626				
CA008.4.i	44	18	CA008	4	i	inv	cont	84	7-Dec-09	20	28.7	5.4	n												84	7-Dec-09	5.69	3.149	1.022				
CA008.4.j	36	24	CA008	4	j	inv	nut def	77	30-Nov-09	16	21.5	6.1	n												77	30-Nov-09	7.33	1.64	3.11				
CA008.5.a	11	43	CA008	5	a	inv	cut	77	30-Nov-09	54			n												77	30-Nov-09	9.29		2.596				
CA008.5.c	25	12	CA008	5	c	inv	cont	85	8-Dec-09	13	25.2	6.3	n												85	8-Dec-09	8.25	2.821	2.102				
CA008.5.f	47	12	CA008	5	f	inv	nut def	80	3-Dec-09	9	14.2	3.1	n												80	3-Dec-09	5.8	1.168	1.875				
CA008.5.g	6	50	CA008	5	g	inv	cont	86	9-Dec-09	26	23.4	4.8	n												86	9-Dec-09	9.43	2.744	2.979				
CA008.5.i	18	40	CA008	5	i	inv	cont	85	8-Dec-09	13	23.6	5.7	n												85	8-Dec-09	9.72	2.785	1.935				
CA008.5.j	5	35	CA008	5	j	inv	cont	85	8-Dec-09	17	39.5	6.2	n												86	9-Dec-09	7.71	3.169	1.095				
CA008.6.a	30	43	CA008	6	a	inv	cont	86	9-Dec-09	13	21.2	6.6	n												86	9-Dec-09	9.82	2.988	2.232				
CA008.6.f	24	14	CA008	6	f	inv	cont	85	8-Dec-09	8	30.2	7	n												85	8-Dec-09	8.08	2.936	0.746				
CA008.6.g	2	7	CA008	6	g	inv	nut def	78	1-Dec-09	15	19.2	3.9	n												78	1-Dec-09	5.03	1.13	2.148				
CA008.6.h	9	47	CA008	6	h	inv	cont	85	8-Dec-09	17	24.7	5.9	n												85	8-Dec-09	8.22	3.799	1.643				
GR001.14.c	49	13	GR001	14	c	nat	nut def	75	28-Nov-09	8	16.4	3.8	n												77	30-Nov-09	4.22	1.044	2.041				
GR001.14.e	40	43	GR001	14	e	nat	cont	84	7-Dec-09	13	22.8	4.5	n												84	7-Dec-09	8.25	3.873	10.938				
GR001.14.h	41	27	GR001	14	h	nat	cut	76	29-Nov-09	11			y	1	42	42							0		76	29-Nov-09	5.94		0.441				
GR001.14.i	33	4	GR001	14	i	nat	cut	76	29-Nov-09	25			n												76	29-Nov-09	7.16		1.019				
GR001.14.l	4	35	GR001	14	l	nat	cut	76	29-Nov-09	18			y	1	32	32							0		76	29-Nov-09	7.14		1.379				
GR001.24.b	5	17	GR001	24	b	nat	cont	85	8-Dec-09	19	33	6.5	n												86	9-Dec-09	5.62	2.099	0.7				
GR001.24.d	25	3	GR001	24	d	nat	cont	85	8-Dec-09	17	28.6	6.5	n												85	8-Dec-09	9.52	2.774	1.397				
GR001.24.e	6	41	GR001	24	e	nat	cont	86	9-Dec-09	0			n												86	9-Dec-09	6.92	3.183	1.511				
GR001.24.f	30	2	GR001	24	f	nat	cont	86	9-Dec-09	17	25.3	8.1	n												86	9-Dec-09	8.43	2.771	3.956				
GR001.26.c	11	49	GR001	26	c	nat	cut	77	30-Nov-09	30			n												77	30-Nov-09	7.82		2.49				
GR001.26.e	13	43	GR001	26	e	nat	nut def	78	1-Dec-09	20	16.5	5	n												78	1-Dec-09	5.25	1.133	4.552				
GR001.26.g	38	18	GR001	26	g	nat	cut	76	29-Nov-09	0			y	1	43.5	43.5							89		76	29-Nov-09	4.35		0.549				
GR001.26.h	44	29	GR001	26	h	nat	cont	84	7-Dec-09	17	26.1	6.1	y	1	10.5	10.5							0		84	7-Dec-09	6.44	3.621	2.362				
GR001.26.i	20	6	GR001	26	i	nat	nut def	80	3-Dec-09	19	15.5	3.2	n												90	13-Dec-09	4.62	0.885	1.532				
GR001.28.b	12	29	GR001	28	b	nat	cont	86	9-Dec-09	10	18.2	3.6	n												85	9-Dec-09	3.15	0.566	0.862				
GR001.28.c	F2	10	GR001	28	c	nat	flood	71	24-Nov-09	4	13.4	3	y	1	27.5	27.5							3		74	27-Nov-09	5.47	1.273	0.315				
GR001.28.f	26	21	GR001	28	f	nat	nut def	80	3-Dec-09	16	18.3	5.6	n												80	3-Dec-09	5.67	1.23	4.968				
GR001.28.g	34	20	GR001	28	g	nat	cont	84	7-Dec-09	0			y	1	33.5	33.5							133		84	7-Dec-09	7.24	5.992	3.871				
GR001.28.h	16	3	GR001	28	h	nat	cut	77	30-Nov-09	25			n												77	30-Nov-09	7.33		0.83				
GR001.28.i	47	32	GR001	28	i	nat	nut def	80	3-Dec-09	15	19.7	4.2	n												80	3-Dec-09	5.74	1.169	3.701				
GR001.6.b	10	10	GR001	6	b	nat	cut	76	29-Nov-09	26			n												76	29-Nov-09	5.62		0.944				
GR001.6.c	2	32	GR001	6	c	nat	nut def	78	1-Dec-09	8	17.2	7.2	y	1	33.5	33.5							20		78	1-Dec-09	7.13	3.269	5.618				
GR001.6.d	36	35	GR001	6	d	nat	nut def	77	30-Nov-09	12	18.9	5.5	n												77	30-Nov-09	5.81	1.735	8.152				
GR001.6.e	7	11	GR001	6	e	nat	cont	86	9-Dec-09	13	27.2	7.9	n												86	9-Dec-09	7.55	4.036	1.407				
GR001.6.f	27	32	GR001	6	f	nat	nut def	80	3-Dec-09	11	16.6	4.3	n												82	5-Dec-09	5.1	1.233	3.352				
GR002.13.a	29	35	GR002	13	a	nat	cont	85	8-Dec-09	0			y	1	29.5	29.5							42		85	8-Dec-09	9.94	3.339	1.495				
GR002.13.b	34	36	GR002	13	b	nat	cont	84	7-Dec-09	7	26.5	6.3	y	1	40	40							40		84	7-Dec-09	8.89	3.978	1.054				
GR002.13.c	10	23	GR002	13	c	nat	cut	76	29-Nov-09	17			n												76	29-Nov-09	4.03		1.009				
GR002.13.d	27	30	GR002	13	d	nat	nut def	80	3-Dec-09	20	15.1	3.6	n												82	5-Dec-09	6.47	1.508	2.392				
GR002.13.f	40	19	GR002	13	f	nat	cont	84	7-Dec-09	0			y	1	25	25							0		84	7-Dec-09	6.76	1.682	1.041				
GR002.13.j	38	7	GR002	13	j	nat	cut	76	29-Nov-09	25			n												76	29-Nov-09	8.29		1.458				
GR002.17.a	47	37	GR002	17	a	nat	nut def	80	3-Dec-09	14	23.1	4.1	n												80	3-Dec-09	6.17	1.222	2.505				
GR002.17.c	13	50	GR002	17	c	nat	nut def	78	1-Dec-09	18	15.6	3.6	n												78	1-Dec-09	5.62	0.986	2.809				
GR002.17.d	7	35	GR002	17	d	nat	cont	86	9-Dec-09	0			y	1	34.7	34.7							55		86	9-Dec-09	8.82	3.058	0.718				
