ID	CrownDiam.mmA	ShootMass.gA	RootMass.gA	Sm.Rm
RO004.3.g	3.76	0.581	0.319	1.821316614
RO004.3.i	3.51	0.522	0.402	1.298507463
RO004.12.d	4.29	0.396	0.481	0.823284823
RO004.12.e	3.87	0.319	0.321	0.99376947
RO004.20.a	5.48	0.425	0.219	1.940639269
RO004.20.b	3.65	0.532	0.459	1.159041394
RO004.21.d	4.72	0.616	0.492	1.25203252
RO005.15.a	3.24	0.247	0.107	2.308411215
RO005.17.h	4.19	0.401	0.223	1.798206278
RO005.17.j	2.85	0.292	0.15	1.946666667
RO005.23.a	3.56	0.222	0.376	0.590425532
RO005.23.b	3.75	0.554	0.287	1.930313589
RO005.23.f	3.05		0.079	
RO005.25.a	2.73	0.208	0.175	1.188571429
RO005.25.e	2.88	0.174	0.11	1.581818182
RU001.2.f	4.46	0.763	0.707	1.079207921
RU001.2.h	3.18	0.647	0.395	1.637974684
RU001.6.g	3.67	0.59	0.35	1.685714286
RU001.7.d	3.34	0.312	0.238	1.31092437
RU001.7.e	3.71	0.396	0.41	0.965853659
RU001.9.a	4.24	0.5	0.375	1.333333333
RU001.10.d	2.69	0.198	0.26	0.761538462
RU002.5.a	1.5	0.236	0.152	1.552631579
RU003.1.b	2.91	0.559	0.215	2.6
RU003.3.a	3.96	0.304	0.357	0.851540616
RU003.7.c	3.91	0.453	0.311	1.45659164
RU004.5.d	2.2	0.172	0.052	3.307692308
RU004.7.b	6.51	0.667	0.202	3.301980198
RU005.5.d	3.82	0.444	1.074	0.413407821
RU005.5.e	4.28	0.554	0.657	0.843226788
RU005.5.g	5.26	0.604	0.765	0.789542484
RU005.6.g	4.48	0.479	0.747	0.641231593
RU005.7.a	2.84	0.558	0.405	1.377777778
RU008.16.d	3.38	0.624	0.194	3.216494845
RU008.16.j	3.54	0.417	0.285	1.463157895
RU008.17.b	3.74	0.521	0.271	1.922509225
RU008.17.e	3.14	0.402	0.295	1.362711864
RU008.17.f	3.36	0.349	1.279	0.272869429
RU008.17.j	2.84	0.294	0.223	1.31838565
RU008.19.e	4.55	0.565	0.95	0.594736842
RU008.21.j	2.88	0.409	0.279	1.465949821
TR001.1.i	4.22	0.454	0.413	1.099273608
TR001.12.b	5.64	0.628	1.224	0.513071895
TR001.19.d	3.35	0.272	0.574	0.473867596
TR001.19.e	2.55	0.336	0.116	2.896551724
TR001.19.j	3.99	0.512	0.119	4.302521008
TR001.24.a	3.25	0.235	0.214	1.098130841
TR001.24.e	2.26	0.297	0.182	1.631868132
TR001.24.n	2.49	0.167	0.103	1.621359223
TR003.2.c	2.82	0.12	0.086	1.395348837
TR003.2.d	2.49	0.203	0.182	1.115384615
TR003.14.f	2.55	0.228	0.158	1.443037975
TR003.14.i	1.07	0.082	0.018	4.555555556
TR003.24.h	1.06	0.081	0.004	20.25
TR003.24.j	1.21	0.059	0.042	1.404761905
TR004.8.d	2.58	0.24	0.071	3.38028169
TR004.14.b	3.47	0.389	0.195	1.994871795
TR004.14.c	3.66	0.408	0.641	0.63650546
TR004.18.f	2.52	0.331	0.14	2.364285714
TR004.18.h	2.59	0.391	0.246	1.589430894
TR004.18.j	3.01	0.28	0.39	0.717948718
TR005.18.b	2.95	0.186	0.074	2.513513514
TR005.18.m	2.26	0.329	0.119	2.764705882
UA001.18.a	3.84	0.615	0.941	0.653560043
UA001.18.c	2.96	0.301	0.324	0.929012346
UA001.22.f	1.93	0.207	0.133	1.556390977
UA001.25.e	3.93	0.609	0.738	0.825203252
UA002.18.a	2.8	0.311	0.153	2.032679739
UA002.18.g	4.72	0.711	0.333	2.135135135
UA003.6.c	4.1	0.744	0.304	2.447368421
UA003.8.b	1.95	0.105	0.093	1.129032258
UA003.8.e	2.04	0.112	0.051	2.196078431
UA003.11A.e	4.11	0.717	0.908	0.789647577
UA003.11A.j	3.98	0.524	0.483	1.084886128
UA003.7A.h	3.45	0.568	0.348	1.632183908
UA003.9A.e	5.24	0.503	0.457	1.100656455
UA003.9A.i	3.76	0.497	0.294	1.69047619
UA004.5.g	4.2	0.76	0.414	1.835748792
UA004.7.d	4.16	0.741	0.452	1.639380531
UA004.15.e	4.03	0.673	1.049	0.641563394
UA004.18.a	4.92	0.457	0.391	1.168797954
UA004.18.f	4.28	0.662	0.514	1.287937743
UA004.18.j	3.27	0.585	0.432	1.354166667
UA004.27.i	3.91	0.571	0.456	1.252192982
UA005.3.d	2.07	0.249	0.114	2.184210526
UA005.15.b	2.18	0.338	0.274	1.233576642
UA005.15.d	1.79	0.133	0.105	1.266666667
UA005.18.a	4.35	0.778	0.885	0.879096045
UA006.10.g	1.65	0.152	0.115	1.32173913
UA008.13.b	2.35	0.218	0.186	1.172043011
