ID	1stWilt	TotWilt	1stYellow	Death	FloatDate	1stBoltDate	BoltMsrDate	Bolt1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	Bolt2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	Bolt3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor
US001.22.a																				
US001.3.b																				
US001.3.c																				
US001.20.i																				
US001.22.c																				
US001.20.h																				
US001.14.j																				
US001.22.j																				
US001.23.b																				
US001.3.j																				
US001.3.g																				
US001.3.i																				
US001.14.a																				
US001.22.h																				
US001.3.h																				
US001.23.e																				
US001.23.a	1	3		7																
US001.22.f	1	3		7																
US001.22.i	1	3		6																
US001.14.e	2	5		11																
US001.23.d	1	3		12																
US001.14.i	3	6		16																
US001.14.b	3	4		12																
US001.20.a			6	29	24															
US001.23.g			5	14																
US001.14.h			5																	
US001.23.f			6	17	12															
US001.20.d			5																	
US001.20.e			6	21	20															
US001.22.e			7	20	17															
US001.14.f			14																	
US001.3.a			14																	
US001.3.e			15																	
US001.3.f			14																	
US001.22.b			15																	
US001.23.j			14																	
US001.20.f			14																	
US002.17.i																				
US002.17.d																				
US002.22.i						69									69	1	47		80	white
US002.22.o																				
US002.5.c																				
US002.17.a																				
US002.1.d																				
US002.1.c																				
US002.24.g																				
US002.1.j																				
US002.1.b																				
US002.22.d																				
US002.1.a																				
US002.17.j																				
US002.22.c																				
US002.5.b																				
US002.24.b																				
US002.17.c																				
US002.22.a																				
US002.17.h																				
US002.5.j																				
US002.22.f	2	4		12																
US002.22.j	1	3		12																
US002.17.f	1	3		9																
US002.24.a	4	5		11																
US002.5.i	3	5		12																
US002.22.g	2	3		12																
US002.5.h	2	5		12																
US002.17.g			6	25	24															
US002.24.f			6	18																
US002.1.g			8	21	15															
US002.17.e			5	15																
US002.24.h			6	29	29															
US002.24.i			7	17	16															
US002.24.e			6	20																
US002.1.l			14																	
US002.17.b			15																	
US002.24.c			14																	
US002.5.f			14																	
US002.22.h			14																	
US002.1.i			16																	
US002.24.d			15																	
US003.6.f																				
US003.19.g																				
US003.20.j																				
US003.20.b																				
US003.19.a																				
US003.27.j																				
US003.28.i																				
US003.6.h																				
US003.28.a																				
US003.27.g																				
US003.6.a																				
US003.27.b																				
US003.6.j																				
US003.19.i																				
US003.28.g																				
US003.28.c																				
US003.6.i																				
US003.19.e			15																	
US003.20.g																				
US003.28.d																				
US003.19.d																				
US003.20.d	3	5		8																
US003.6.d	5	7		12																
US003.6.c	2	4		12																
US003.27.i	2	4		8																
US003.27.h	1	3		11																
US003.27.f	3	6		11																
US003.27.c	4	7		12																
US003.19.j			7	25																
US003.27.d			6	13	13															
US003.28.e			5	20																
US003.19.c			5	20																
US003.28.f			6	17	16															
US003.27.a			6	17																
US003.20.a			7	19																
US003.28.h			14																	
US003.28.j			14																	
US003.19.h			14																	
US003.20.i			15																	
US003.6.b			14																	
US003.19.b			14																	
US003.20.f			14																	
US011.13.c																				
US011.8.c																				
US011.8.k																				
US011.8.b			15																	
US011.8.g																				
US011.12.a				11																
US011.8.l	2	3		12																
US011.8.e	3	5		10																
US011.13.a	6	8		12																
US011.8.h			5	12																
US011.12.e			9	19	18															
US011.8.f			6	20	13															
US011.8.d			15																	
US011.8.a			15																	
US011.8.i			14																	
US012.31.d																				
US012.29.c																				
US012.35.h																				
US012.28.b																				
US012.28.c																				
US012.35.b																				
US012.31.b																				
US012.31.f																				
US012.28.e																				
US012.29.a																				
US012.28.a	3	6		12																
US012.31.e	3	7		13																
US012.29.b	3	7		13																
US012.31.a			7	16	13															
US012.29.e			7	15	13															
US012.31.c			7																	
US012.35.f			6	16	15															
US012.28.f			15																	
US012.29.h			14																	
US012.31.h			1																	
US013.23.b																				
US013.2.a																				
US013.14.b																				
US013.14.a			14																	
US014.17.g																				
US014.16.e																				
US014.22.a																				
US014.4.d																				
US014.16.m																				
US014.22.f																				
US014.16.j																				
US014.17.f																				
US014.16.i																				
US014.17.b																				
US014.22.g																				
US014.22.h																				
US014.17.c																				
US014.16.c																				
US014.16.f																				
US014.16.a																				
US014.4.a	5	9		13																
US014.17.i	5	9		14																
US014.17.e	3	6		11																
US014.16.n	3	6		13																
US014.22.j	4	7		13																
US014.17.d	4	7		16																
US014.22.e			8	19																
US014.16.b			6	19	18															
US014.17.a			6	18	17															
US014.16.g			6	32	15															
US014.22.b			14																	
US014.16.k			15																	
US014.20.a			15																	
US014.22.c			16																	
US014.20.b			14																	
US014.4.b			14																	
US015.13.h																				
US015.3.d																				
US015.13.j																				
US015.3.g																				
US015.15.e																				
US015.15.d																				
US015.2.d																				
US015.17.k																				
US015.15.j																				
US015.13.f																				
US015.3.e																				
US015.3.c																				
US015.13.b																				
US015.17.g																				
US015.2.b																				
US015.3.k			15																	
US015.3.a																				
US015.15.f																				
US015.17.a																				
US015.15.c	3	5		16																
US015.15.h	3	5		12																
US015.15.a	1	4		12																
US015.17.l	4	7		13																
US015.13.i	2	8		12																
US015.13.c	4	7		15																
US015.2.f			8	17	15															
US015.2.c			7	14	13															
US015.17.j			5	17	16															
US015.3.h			7	13																
US015.15.g			8																	
US015.17.e			6	19	17															
US015.2.a																				
US015.13.k			15																	
US015.17.b			14																	
US015.17.f			14																	
US015.17.h			14																	
US015.13.a			14																	
US017.36.e																				
US018.31.b																				
US018.11.c																				
US018.5.d																				
US018.31.a																				
US018.11.a																				
US018.5.l	12	14		18																
US018.11.b	4	8		14																
US018.11.d	4	7		11																
US018.11.e			6	22	12															
US018.5.c			5	20	15															
US018.11.f			14																	
US018.5.a			14																	
US020.42.a																				
US020.24.f						69									69	1	8			
US020.24.c																				
US020.42.f																				
US020.42.g																				
US020.27.b																				
US020.42.b			15																	
US020.24.e			15																	
US020.27.c	4	8		10																
US020.12.c	3	4		14																
US020.24.a	1	4		12																
US020.27.g			6	18	16															
US020.24.d			7		20															
US020.42.j																				
US020.27.a			14																	
US020.42.d			14																	
US020.24.b			15																	
US021.8.g																				
US021.8.j																				
US021.1.a																				
US021.3.b																				
US021.8.e																				
US021.3.c																				
US021.8.b																				
US021.8.d																				
US021.3.a																				
US021.8.a	1	5		6																
US021.8.h	3	6		16																
US021.1.c	12	18		21																
US021.3.d			6	17																
US021.8.f			6	21	20															
US021.8.i			14																	
US021.8.k			14																	
US021.10.a			15																	
US022.31.b																				
US022.42.a																				
US022.23.b																				
US022.17.a																				
US022.41.a																				
US022.17.f																				
US022.23.d																				
US022.31.a																				
US022.31.c																				
US022.23.f																				
US022.23.h																				
US022.23.g																				
US022.42.d																				
US022.41.f			15																	
US022.42.k																				
US022.17.h																				
US022.42.c			15																	
US022.17.i	1	3		12																
US022.41.b	1	3		8																
US022.42.j	3	6		13																
US022.17.g	3	5		11																
US022.23.c	5	7		13																
US022.17.b			5	18																
US022.42.g			6	11																
US022.23.e			6	22	20															
US022.42.h			14																	
US022.23.i			14																	
US022.17.d			16																	
US022.17.c			14																	
US022.23.j			16																	
US022.31.f			14																	
US023.41.c																				
US023.34.b																				
US023.34.k																				
US023.41.f																				
US023.12.a																				
US023.41.b			15																	
US023.41.i																				
US023.34.a																				
US023.45.e	3	5		12																
US023.34.c	1	3		10																
US023.41.a	1	3		6																
US023.34.g			5	16																
US023.41.d			6	15																
US023.26.f																				
US023.45.a			14																	
US023.41.e			14																	
US023.26.a			14																	
US026.15.c																				
US026.15.d																				
US026.3.b																				
US026.23.b																				
US026.24.c			15																	
US026.35.a																				
US026.23.k	7	11		16																
US026.24.h	7	10		16																
US026.24.b	5	8		15																
US026.23.a			6																	
US026.24.e			9	17	12															
US026.15.b			5	22	20															
US026.15.a			14																	
US026.24.i			15																	
US013.14.c			5	30	19															
UA007.19.d			15																	
