ID	1stWilt	TotWilt	1stYellow	Death	FloatDate	1stBoltDate	BoltMsrDate	Bolt1	MaxBoltHt1	OtherBoltHt1	BoltMsrDate2	Bolt2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	Bolt3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor
GR003.17.d						11					39	1	40		69	1	38		46	
GR003.17.e																				
GR003.3.e																				
GR003.12.d																				
GR003.3.g																				
GR003.10.b			15			11	18	1	33.3		38	1	30.4		69	1	33		57	white
GR003.10.d						53					53	1	2.6		69	1	32.5			
GR003.3.a			15			18	18	1	44.9		39	1	42.3		69	1	47.5		43	white
GR003.17.b																				
GR003.10.f	3	6		13																
GR003.17.g	3	6		12																
GR003.10.h	3	6		13																
GR003.9.b	3	7		12																
GR003.3.f	5	8		12																
GR003.9.g	3	4		8																
GR003.3.c	10	13		18																
GR003.3.m			6	24																
GR003.17.f			7	17	12															
GR003.3.h			7	14	13															
GR003.17.j			6		39	11					39	1	24.1		69	1	27		63	white
GR003.3.b			6	18																
GR003.12.e			7			50									69	1	39			
GR003.12.h			7			50									69	1	33.5			
GR003.12.b			16																	
GR003.10.c			14																	
GR003.12.a			16																	
GR003.17.c			16			8	18	1	40.2		39	1	40.7		69	1	44.5		46	
GR003.9.f			15																	
GR003.10.i			14																	
HU001.28.a																				
HU001.28.h																				
HU001.24.h						69									69	1	33.5			
HU001.28.g						69									69	1	34.5			
HU001.5.a																				
HU001.28.e																				
HU001.13.e																				
HU001.24.j						69									69	1	12			
HU001.5.d																				
HU001.28.m																				
HU001.24.i						69									69	1	50.5			
HU001.14.b																				
HU001.24.b																				
HU001.5.j						69									69	1	17			
HU001.28.c																				
HU001.24.f			15																	
HU001.14.k																				
HU001.14.h																				
HU001.14.d																				
HU001.24.a						53					53	1	7.3		69	1	33			
HU001.13.b																				
HU001.14.a	2	5		11																
HU001.14.m	3	6		12																
HU001.24.k	3	5		12																
HU001.24.e	3	6		8																
HU001.5.g	7	12		13																
HU001.24.c	3	5		12																
HU001.28.j	5	7		11																
HU001.13.j			8		17															
HU001.13.a			9	21	14															
HU001.13.h			7		19	69									69	1	35			
HU001.13.f			10	25	15															
HU001.14.j			5	19	13															
HU001.24.l			6		21	39					39	1	8.7		69	1	38			
HU001.28.d			6			69									69	1	22.5			
HU001.14.f			15																	
HU001.5.h			15																	
HU001.5.l			15																	
HU001.14.c			15																	
HU001.5.c			16																	
HU001.5.k			15																	
HU001.28.i			14																	
RO001.21.i																				
RO001.21.f																				
RO001.6.c																				
RO001.28.b																				
RO001.12.a																				
RO001.12.e																				
RO001.13.c																				
RO001.28.f																				
RO001.28.a																				
RO001.6.e																				
RO001.28.c																				
RO001.6.h																				
RO001.13.b																				
RO001.28.g																				
RO001.13.d			15																	
RO001.21.d																				
RO001.6.j						53					53	1	9		69	1	39.5			
RO001.13.i																				
RO001.28.e																				
RO001.21.e						50					50	1	2.7		69	1	22			
RO001.6.a	1	3		12																
RO001.21.b	5	8		12																
RO001.21.j	5	7		12																
RO001.6.f	3	4		13																
RO001.12.c	5	9		14																
RO001.12.g	3	7		17																
RO001.6.d	3	5		15																
RO001.13.f			5	16																
RO001.28.h			6	13																
RO001.12.f			8	16	15															
RO001.12.j			6	19	17															
RO001.13.j			6	19	15															
RO001.12.h			5	19	18															
RO001.13.h																				
RO001.6.b			14																	
RO001.13.g			15																	
RO001.21.h			15																	
RO001.21.g			16																	
RO001.6.g			14			11	18	1	25		38	1	36.3		69	1	40		57	white
RO001.21.a			16																	
RO002.12.c																				
RO002.13.d																				
RO002.12.a																				
RO002.15.f																				
RO002.15.c																				
RO002.15.b						69									69	1	33			
RO002.18.e																				
RO002.22.d																				
RO002.15.h						69									69	1	29			
RO002.13.g																				
RO002.12.b																				
RO002.15.i																				
RO002.22.h				39																
RO002.18.d																				
RO002.12.e																				
RO002.18.f						50					50	1	7.5		69	1	41			
RO002.22.f			15																	
RO002.12.o			15																	
RO002.12.g																				
RO002.15.g																				
RO002.18.a			15																	
RO002.12.f	3	4		12																
RO002.13.a	8	11		16																
RO002.22.g	1	3		12																
RO002.12.k	5	10		13																
RO002.13.e	5	6		16																
RO002.13.b	5	6		12																
RO002.12.j	6	7		14																
RO002.13.f			6	19																
RO002.22.i			5	29																
RO002.22.e			7	29																
RO002.22.c			6	21	20															
RO002.12.i			6	14	13															
RO002.18.i			8	21	20															
RO002.15.k			6	12																
RO002.22.j			14																	
RO002.12.d			15																	
RO002.15.d			14																	
RO002.18.c			15																	
RO002.22.a			15																	
RO002.15.a			14																	
RO002.15.j			15																	
RO003.15.c						18	18	1	4.2		38	1	35		69	1	40.5			
RO003.9.g																				
RO003.21.j																				
RO003.9.m																				
RO003.21.b																				
RO003.11.h						69									69	1	4			
RO003.4.d																				
RO003.21.d																				
RO003.21.g																				
RO003.4.i																				
RO003.11.g																				
RO003.9.i																				
RO003.21.i																				
RO003.21.k																				
RO003.9.e						69									69	1	23			
RO003.21.e																				
RO003.11.e						29					39	1	28.4		69	1	37			
RO003.9.f						53					53	4.3			69	1	32			
RO003.9.d						53					53	1	27.7		69	1	33.5			
RO003.11.f																				
RO003.15.j			15																	
RO003.4.h	3	5		12																
RO003.21.c	4	6		13																
RO003.15.f	2	4		12																
RO003.9.b	3	6		12																
RO003.4.a	3	5		13																
RO003.11.i	3	5		11																
RO003.4.b	3	6		13																
RO003.9.c			6	14																
RO003.15.i			6	18																
RO003.15.a			6	17	16															
RO003.9.a			8	15	14															
RO003.4.j			5	29																
RO003.11.j			6	19	16															
RO003.21.a			7	14	13															
RO003.11.d			14																	
RO003.9.j			16																	
RO003.15.g			16																	
RO003.11.b			15																	
RO003.11.c			16																	
RO003.4.e			14																	
RO003.4.c			14																	
RO004.12.j						18	18	1	6.7		38	1	36.5		69	1	36.5		84	white
RO004.21.i						38					38	1	22.4		69	1	54			
RO004.3.e						39					39	1	25.6		69	1	34			
RO004.13.e																				
RO004.13.a																				
RO004.20.g						38					38	1	20.5		69	1	29.5		84	purple
RO004.21.h																				
RO004.13.m																				
RO004.13.c																				
RO004.13.g																				
RO004.13.i						69									69	1	10.5			
RO004.21.c																				
RO004.20.f						39					39	1	34		69	1	43			
RO004.13.j																				
RO004.13.f						29					39	1	31.2		69	1	31.2		69	white
RO004.13.d																				
RO004.20.d			15			69									69	1	8.5			
RO004.13.b																				
RO004.13.h																				
RO004.21.e						50					50	1	29		69	1	29.5			
RO004.3.j			15			10	18	1	3.7		39	1	12		69	1	37.5			
RO004.12.g	2	3		11																
RO004.3.b	2	4		12																
