Rack	Pos	PopID	Mom	Indiv	Origin	LfCount1	LfLgth1	LfWdth1	ID	LfLgth1.log	LfWdth1.log	LfCount1.sq
RO001.13.h	2	18	RO001	13	h	nat	10	13.7	2.7	RO001.13.h	2.61739583283408	0.993251773010283	3.16227766016838
RU008.17.d	2	19	RU008	17	d	nat	10	15.4	5.9	RU008.17.d	2.73436750941958	1.77495235091167	3.16227766016838
CA001.6.k	2	20	CA001	6	k	inv	11	21.9	5.2	CA001.6.k	3.08648663682246	1.64865862558738	3.3166247903554
RO002.22.j	2	21	RO002	22	j	nat	9	13.2	3.8	RO002.22.j	2.58021682959233	1.33500106673234	3
UA001.22.a	2	24	UA001	22	a	nat	9	15.1	4.3	UA001.22.a	2.71469474382088	1.45861502269952	3
CA007.3.c	2	25	CA007	3	c	inv	9	14.5	4.6	CA007.3.c	2.67414864942653	1.52605630349505	3
US003.28.h	2	26	US003	28	h	inv	11	19.5	5.4	US003.28.h	2.9704144655697	1.68639895357023	3.3166247903554
US014.22.b	2	27	US014	22	b	inv	9	16.5	3.6	US014.22.b	2.80336038090653	1.28093384546206	3
US023.45.a	2	28	US023	45	a	inv	11	12.9	3.2	US023.45.a	2.55722731136763	1.16315080980568	3.3166247903554
US015.17.i	2	30	US015	17	i	inv	7	11.9	2.5	US015.17.i	2.47653840011748	0.916290731874155	2.64575131106459
BG001.22.c	2	31	BG001	22	c	nat	12	10.9	2.4	BG001.22.c	2.3887627892351	0.8754687373539	3.46410161513775
GR001.6.c	2	32	GR001	6	c	nat	9	15.1	5.3	GR001.6.c	2.71469474382088	1.66770682055808	3
TR003.6.d	2	33	TR003	6	d	nat	11	13.7	4.4	TR003.6.d	2.61739583283408	1.48160454092422	3.3166247903554
RU005.6.a	2	35	RU005	6	a	nat	11	11.2	2.4	RU005.6.a	2.41591377830105	0.8754687373539	3.3166247903554
RU001.10.a	2	38	RU001	10	a	nat	9	13.5	3.5	RU001.10.a	2.60268968544438	1.25276296849537	3
US002.1.l	2	39	US002	1	l	inv	14	15.5	2.3	US002.1.l	2.7408400239252	0.832909122935104	3.74165738677394
UA003.9A.c	2	41	UA003	9A	c	nat	11	10.1	3.5	UA003.9A.c	2.31253542384721	1.25276296849537	3.3166247903554
US011.8.d	2	42	US011	8	d	inv	12	12.9	2.4	US011.8.d	2.55722731136763	0.8754687373539	3.46410161513775
UA006.10.c	2	43	UA006	10	c	nat	11	15.6	3.4	UA006.10.c	2.74727091425549	1.22377543162212	3.3166247903554
RO003.11.d	2	44	RO003	11	d	nat	8	10.9	3.4	RO003.11.d	2.3887627892351	1.22377543162212	2.82842712474619
US022.42.h	2	47	US022	42	h	inv	9	12.8	2.5	US022.42.h	2.54944517092557	0.916290731874155	3
UA008.18.f	2	50	UA008	18	f	nat	7	10.1	2.8	UA008.18.f	2.31253542384721	1.02961941718116	2.64575131106459
US003.19.j	3	1	US003	19	j	inv	13	10.1	3	US003.19.j	2.31253542384721	1.09861228866811	3.60555127546399
CA001.2.d	3	4	CA001	2	d	inv	11	14.1	3.7	CA001.2.d	2.64617479738412	1.30833281965018	3.3166247903554
US002.17.g	3	6	US002	17	g	inv	15	12.1	3.4	US002.17.g	2.4932054526027	1.22377543162212	3.87298334620742
US015.2.f	3	7	US015	2	f	inv	6	12.9	3.6	US015.2.f	2.55722731136763	1.28093384546206	2.44948974278318
UA003.9A.h	3	8	UA003	9A	h	nat	7	14	2.6	UA003.9A.h	2.63905732961526	0.955511445027436	2.64575131106459
UA004.15.j	3	12	UA004	15	j	nat	10	14.2	4.2	UA004.15.j	2.65324196460721	1.43508452528932	3.16227766016838
RU005.5.c	3	14	RU005	5	c	nat	12	10.8	3.2	RU005.5.c	2.37954613413017	1.16315080980568	3.46410161513775
BG001.29.h	3	16	BG001	29	h	nat	13	14.4	4.4	BG001.29.h	2.66722820658195	1.48160454092422	3.60555127546399
UA005.15.f	3	17	UA005	15	f	nat	8	12.6	3.2	UA005.15.f	2.53369681395743	1.16315080980568	2.82842712474619
UA001.25.g	3	19	UA001	25	g	nat	11	11.5	3.7	UA001.25.g	2.4423470353692	1.30833281965018	3.3166247903554
CA008.5.h	3	20	CA008	5	h	inv	8	10.6	3.4	CA008.5.h	2.36085400111802	1.22377543162212	2.82842712474619
US001.20.a	3	22	US001	20	a	inv	13	13	3.3	US001.20.a	2.56494935746154	1.19392246847243	3.60555127546399
RO003.9.c	3	24	RO003	9	c	nat	9	14.1	4.3	RO003.9.c	2.64617479738412	1.45861502269952	3
RU001.7.i	3	27	RU001	7	i	nat	9	13.1	2.9	RU001.7.i	2.57261223020711	1.06471073699243	3
CA007.3.b	3	28	CA007	3	b	inv	8	12.9	2.8	CA007.3.b	2.55722731136763	1.02961941718116	2.82842712474619
RO005.17.g	3	31	RO005	17	g	nat	8	9.3	2.3	RO005.17.g	2.23001440015921	0.832909122935104	2.82842712474619
RU008.19.a	3	35	RU008	19	a	nat	13	13.2	3.3	RU008.19.a	2.58021682959233	1.19392246847243	3.60555127546399
UA006.24.h	3	36	UA006	24	h	nat	9	16.3	5.2	UA006.24.h	2.79116510781272	1.64865862558738	3
TR001.19.g	3	39	TR001	19	g	nat	8	13.8	4.4	TR001.19.g	2.62466859216316	1.48160454092422	2.82842712474619
UA008.13.i	3	41	UA008	13	i	nat	9	12.8	3.3	UA008.13.i	2.54944517092557	1.19392246847243	3
TR004.27.e	3	43	TR004	27	e	nat	9	11.1	4	TR004.27.e	2.40694510831829	1.38629436111989	3
RO002.13.f	3	44	RO002	13	f	nat	7	11.1	3.2	RO002.13.f	2.40694510831829	1.16315080980568	2.64575131106459
RO004.21.f	3	45	RO004	21	f	nat	12	10.2	2	RO004.21.f	2.32238772029023	0.693147180559945	3.46410161513775
HU001.13.j	3	46	HU001	13	j	nat	7	12.4	1.6	HU001.13.j	2.51769647261099	0.470003629245736	2.64575131106459
GR001.14.b	3	48	GR001	14	b	nat	9	11.3	2.6	GR001.14.b	2.42480272571829	0.955511445027436	3
GR002.25.h	3	49	GR002	25	h	nat	8	9.4	1.3	GR002.25.h	2.24070968927596	0.262364264467491	2.82842712474619
GR003.3.m	3	50	GR003	3	m	nat	11	16.4	3.7	GR003.3.m	2.79728133483015	1.30833281965018	3.3166247903554
RO002.12.e	4	1	RO002	12	e	nat	9	12.2	3.4	RO002.12.e	2.50143595173921	1.22377543162212	3
RU008.17.g	4	2	RU008	17	g	nat	14	11	2.2	RU008.17.g	2.39789527279837	0.78845736036427	3.74165738677394
RO003.9.e	4	5	RO003	9	e	nat	10	11.6	2.8	RO003.9.e	2.45100509811232	1.02961941718116	3.16227766016838
US014.22.g	4	15	US014	22	g	inv	9	12.7	3.1	US014.22.g	2.54160199346455	1.1314021114911	3
BG001.22.i	4	19	BG001	22	i	nat	13	10.3	2.4	BG001.22.i	2.33214389523559	0.8754687373539	3.60555127546399
TR001.19.a	4	20	TR001	19	a	nat	7	11.7	2.4	TR001.19.a	2.45958884180371	0.8754687373539	2.64575131106459
RU001.2.a	4	21	RU001	2	a	nat	13	11.5	3.3	RU001.2.a	2.4423470353692	1.19392246847243	3.60555127546399
US001.3.j	4	22	US001	3	j	inv	12	13.1	2.4	US001.3.j	2.57261223020711	0.8754687373539	3.46410161513775
CA001.2.e	4	24	CA001	2	e	inv	11	15.9	3.8	CA001.2.e	2.76631910922619	1.33500106673234	3.3166247903554
GR003.3.e	4	25	GR003	3	e	nat	11	12.2	2.4	GR003.3.e	2.50143595173921	0.8754687373539	3.3166247903554
RO005.14.h	4	26	RO005	14	h	nat	11	16.9	3.4	RO005.14.h	2.82731362192903	1.22377543162212	3.3166247903554
UA004.18.i	4	27	UA004	18	i	nat	20	12.4	2.8	UA004.18.i	2.51769647261099	1.02961941718116	4.47213595499958
UA003.7A.d	4	28	UA003	7A	d	nat	9	15.5	3.3	UA003.7A.d	2.7408400239252	1.19392246847243	3
HU001.28.c	4	29	HU001	28	c	nat	19	14.5	4.5	HU001.28.c	2.67414864942653	1.50407739677627	4.35889894354067
TR004.14.h	4	31	TR004	14	h	nat	11	11.5	2.7	TR004.14.h	2.4423470353692	0.993251773010283	3.3166247903554
RO001.28.g	4	32	RO001	28	g	nat	8	15	3.3	RO001.28.g	2.70805020110221	1.19392246847243	2.82842712474619
US003.28.g	4	33	US003	28	g	inv	11	18.3	3.5	US003.28.g	2.90690105984738	1.25276296849537	3.3166247903554
GR001.14.l	4	35	GR001	14	l	nat	10	15.9	3.6	GR001.14.l	2.76631910922619	1.28093384546206	3.16227766016838
US011.8.h	4	39	US011	8	h	inv	12	14.2	2.7	US011.8.h	2.65324196460721	0.993251773010283	3.46410161513775
RO004.13.f	4	40	RO004	13	f	nat	12	10.4	2.3	RO004.13.f	2.34180580614733	0.832909122935104	3.46410161513775
US021.8.b	4	41	US021	8	b	inv	12	14.5	2.7	US021.8.b	2.67414864942653	0.993251773010283	3.46410161513775
UA001.25.a	4	45	UA001	25	a	nat	12	13.5	2.7	UA001.25.a	2.60268968544438	0.993251773010283	3.46410161513775
US017.15.b	4	46	US017	15	b	inv	NA	NA	NA	US017.15.b	NA	NA	NA
US015.17.g	4	47	US015	17	g	inv	11	9.8	3.4	US015.17.g	2.28238238567653	1.22377543162212	3.3166247903554
US002.22.c	4	49	US002	22	c	inv	10	16.2	3.1	US002.22.c	2.78501124223834	1.1314021114911	3.16227766016838
TR003.15.e	5	1	TR003	15	e	nat	7	9.5	1.9	TR003.15.e	2.2512917986065	0.641853886172395	2.64575131106459
