PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfLgth2.log	LfWdth2.log	LfCountH.sq	LfLgthH.log	LfWdthH.log	CrownH.log	ShootH.log	RootH.log	lxwH	lxwH.log	Latitude	Longitude	bolt.bin
12	CA001	20	20	7	b	inv	nut def	CA001.7.b	80	16	15.8	3.6	n	80	4.76	1.738	4.295	8	22.6	6	y	NA	10	20.8	5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	3.03495298670727	1.66770682055808	2.82842712474619	3.11794990627824	1.79175946922805	4	2.76000994003292	1.28093384546206	1.56024766824333	0.5527350268432	1.45745155543622	56.88	4.04094378549499	49.0149388888889	-122.882097222222	0
13	CA001	36	11	3	a	inv	nut def	CA001.3.a	75	21	19.7	5.6	n	77	5.71	1.918	4.702	15	21	6.2	y	NA	14	15.5	5	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.74165738677394	2.7408400239252	1.6094379124341	3.87298334620742	3.04452243772342	1.82454929205105	4.58257569495584	2.98061863574394	1.7227665977411	1.74221902366792	0.651282976461246	1.54798795011788	110.32	4.70338523348505	49.0149388888889	-122.882097222222	0
14	CA001	47	14	3	f	inv	nut def	CA001.3.f	80	12	20.1	5.2	n	80	4.82	1.371	2.715	10	19.8	6.1	y	NA	10	17.1	4.8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.83907846350861	1.56861591791385	3.16227766016838	2.98568193770049	1.80828877117927	3.46410161513775	3.00071981506503	1.64865862558738	1.57277392806251	0.315540400580177	0.998791953385899	104.52	4.64937844065241	49.0149388888889	-122.882097222222	0
15	CA001	27	16	7	e	inv	nut def	CA001.7.e	80	15	14.4	3.1	n	82	5.67	0.963	2.624	9	14.2	4.1	y	NA	11	13.9	4	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.3166247903554	2.63188884013665	1.38629436111989	3	2.65324196460721	1.41098697371026	3.87298334620742	2.66722820658195	1.1314021114911	1.73518911773966	-0.0377018671840115	0.964699871081843	44.64	3.79863031807306	49.0149388888889	-122.882097222222	0
16	CA001	49	28	2	f	inv	nut def	CA001.2.f	75	13	22.4	5.4	n	77	5.4	1.797	5.288	8	23.1	4	y	NA	12	19.8	4.1	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.46410161513775	2.98568193770049	1.41098697371026	2.82842712474619	3.13983261752775	1.38629436111989	3.60555127546399	3.10906095886099	1.68639895357023	1.68639895357023	0.586118607801422	1.66544010254939	120.96	4.79545991243122	49.0149388888889	-122.882097222222	0
17	CA007	2	25	3	c	inv	nut def	CA007.3.c	78	18	14.6	5	n	78	6.97	1.195	2.704	11	15	4.6	y	NA	9	14.5	4.6	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3	2.67414864942653	1.52605630349505	3.3166247903554	2.70805020110221	1.52605630349505	4.24264068711928	2.68102152871429	1.6094379124341	1.94161522477243	0.178146185383474	0.994732158180718	73	4.29045944114839	49.2961027777778	-118.473830555556	0
18	CA007	13	46	1	a	inv	nut def	CA007.1.a	78	19	13.9	4.8	n	78	6.58	1.779	2.897	18	14.4	3.2	y	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	4.24264068711928	2.66722820658195	1.16315080980568	4.35889894354067	2.63188884013665	1.56861591791385	1.88403474533723	0.576051408683698	1.06367571878721	66.72	4.20050475805049	49.2961027777778	-118.473830555556	0
19	CA007	20	4	2	b	inv	nut def	CA007.2.b	80	18	14.7	4.1	n	80	6.43	1.217	2.649	13	15.2	4.3	n	NA	10	13	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.16227766016838	2.56494935746154	1.09861228866811	3.60555127546399	2.72129542785223	1.45861502269952	4.24264068711928	2.68784749378469	1.41098697371026	1.86097453824953	0.19638881400539	0.974182210289933	60.27	4.09883446749495	49.2961027777778	-118.473830555556	0
20	CA008	2	7	6	g	inv	nut def	CA008.6.g	78	15	19.2	3.9	n	78	5.03	1.13	2.148	13	18.4	6.2	y	NA	10	12.6	2.5	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.16227766016838	2.53369681395743	0.916290731874155	3.60555127546399	2.91235066461494	1.82454929205105	3.87298334620742	2.95491027903374	1.3609765531356	1.61541998411165	0.122217632724249	0.764537176646618	74.88	4.31588683216934	49.0120833333333	-118.645711111111	0
21	CA008	47	12	5	f	inv	nut def	CA008.5.f	80	9	14.2	3.1	n	80	5.8	1.168	1.875	10	20.1	2.8	y	NA	13	15.7	4.2	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		3.60555127546399	2.75366071235426	1.43508452528932	3.16227766016838	3.00071981506503	1.02961941718116	3	2.65324196460721	1.1314021114911	1.75785791755237	0.155292884406035	0.628608659422374	44.02	3.78464407609832	49.0120833333333	-118.645711111111	0
