PopID	ID	Rack	Pos	Mom	Indiv	Origin	LfCount1	LfLgth1	LfWdth1	CrownDiam.mmA	ShootMass.gA	RootMass.gA	Sm.Rm	LfCount1.sq	LfLgth1.log	LfWdth1.log	CrownA.log	ShootA.log	RootA.log	Latitude	Longitude
1	BG001	BG001.16.c	15	5	16	c	nat	16	10.2	2.7	5.19	0.467	0.515	0.906796117	4	2.32238772029023	0.993251773010283	1.6467336971778	-0.76142602131324	-0.663588378318401	43.3819444444444	28.4575
2	BG001	BG001.17.a	21	31	17	a	nat	11	12.9	3.1	4.2	0.497	0.444	1.119369369	3.3166247903554	2.55722731136763	1.1314021114911	1.43508452528932	-0.699165252885508	-0.811930716549912	43.3819444444444	28.4575
3	BG001	BG001.22.a	28	49	22	a	nat	12	9.1	2.9	4.61	0.345	0.19	1.815789474	3.46410161513775	2.2082744135228	1.06471073699243	1.52822785700856	-1.06421086195078	-1.66073120682165	43.3819444444444	28.4575
4	BG001	BG001.25.c	31	5	25	c	nat	12	15.9	2.1	3.54	0.47	0.219	2.146118721	3.46410161513775	2.76631910922619	0.741937344729377	1.26412672714568	-0.755022584278033	-1.51868354916564	43.3819444444444	28.4575
5	BG001	BG001.25.g	32	16	25	g	nat	13	13.9	4.1	4.05	0.501	0.384	1.3046875	3.60555127546399	2.63188884013665	1.41098697371026	1.39871688111845	-0.691149177897272	-0.95711272639441	43.3819444444444	28.4575
6	BG001	BG001.25.j	22	50	25	j	nat	13	12.1	3.2	4.76	0.537	0.284	1.89084507	3.60555127546399	2.4932054526027	1.16315080980568	1.56024766824333	-0.621757184473272	-1.25878104082093	43.3819444444444	28.4575
7	BG001	BG001.29.b	42	21	29	b	nat	9	13.6	3.1	2.94	0.315	0.191	1.64921466	3	2.61006979274201	1.1314021114911	1.07840958135059	-1.1551826401565	-1.65548185093551	43.3819444444444	28.4575
8	BG001	BG001.29.j	8	37	29	j	nat	11	17.8	3.7	4.54	0.9	0.316	2.848101266	3.3166247903554	2.87919845729804	1.30833281965018	1.51292701205326	-0.105360515657826	-1.15201306539522	43.3819444444444	28.4575
9	CA001	CA001.2.h	15	46	2	h	inv	11	10.4	2.8	4.34	0.571	0.516	1.106589147	3.3166247903554	2.34180580614733	1.02961941718116	1.46787434811231	-0.560366069326127	-0.661648513500574	49.0149388888889	-122.882097222222
10	CA001	CA001.3.c	21	46	3	c	inv	8	13.3	4.2	3.26	0.509	0.357	1.425770308	2.82842712474619	2.58776403522771	1.43508452528932	1.18172719537862	-0.675307262431614	-1.0300194972025	49.0149388888889	-122.882097222222
