"PopID"	"Origin"	"Latitude"	"CtrlPopShoot"	"popCount"	"popWilt"
"1"	"BG001"	"nat"	43.3819444444444	2.583	7	3.28571428571429
"2"	"CA001"	"inv"	49.0149388888889	4.07046153846154	7	3
"3"	"CA008"	"inv"	49.0120833333333	2.87127272727273	5	2.8
"4"	"GR001"	"nat"	40.1566666666667	3.21277777777778	6	4.16666666666667
"5"	"GR002"	"nat"	40.6213888888889	2.92666666666667	6	3.33333333333333
"6"	"GR003"	"nat"	40.8508333333333	4.06323076923077	7	4.28571428571429
"7"	"HU001"	"nat"	47.6419444444444	4.26276923076923	7	3.71428571428571
"8"	"RO001"	"nat"	44.1102777777778	3.13841666666667	7	3.57142857142857
"9"	"RO002"	"nat"	43.9024333333333	2.38116666666667	7	4.71428571428571
"10"	"RO003"	"nat"	44.3896666666667	2.88638461538462	7	3
"11"	"RO004"	"nat"	45.5761833333333	3.40846153846154	7	3.14285714285714
"12"	"RO005"	"nat"	45.4978611111111	3.48569230769231	7	3.85714285714286
"13"	"RU001"	"nat"	51.38333333	3.29533333333333	6	4.16666666666667
"14"	"RU003"	"nat"	38.1625	4.231	4	3.5
"15"	"RU004"	"nat"	60.16666667	3.115	3	3
"16"	"RU005"	"nat"	49.1876667	3.63216666666667	4	3
"17"	"RU008"	"nat"	44.05	3.65353846153846	7	3
"18"	"TR001"	"nat"	41.7511111111111	2.77407692307692	7	4
"19"	"TR003"	"nat"	38.7672222222222	1.18014285714286	5	7.6
"20"	"TR004"	"nat"	38.3672222222222	1.84	4	3.75
"21"	"TR005"	"nat"	39.7825	1.21514285714286	5	3.8
"22"	"UA001"	"nat"	48.1006666666667	3.27655555555556	3	4
"23"	"UA002"	"nat"	48.1523333333333	3.76425	5	2.8
"24"	"UA003"	"nat"	50.48075	3.54538461538462	7	3.85714285714286
"25"	"UA004"	"nat"	48.6460277777778	2.83492307692308	7	2.42857142857143
"26"	"UA005"	"nat"	47.862	4.1323	4	2.75
"27"	"UA006"	"nat"	45.7083333333333	3.7344	3	3.33333333333333
"28"	"UA008"	"nat"	46.7572222222222	2.86133333333333	3	5.33333333333333
"29"	"US001"	"inv"	45.6152333333333	3.02776923076923	7	1.71428571428571
"30"	"US002"	"inv"	46.1822666666667	3.09792307692308	7	2.14285714285714
"31"	"US003"	"inv"	46.60415	3.07807692307692	7	2.85714285714286
"32"	"US012"	"inv"	40.5281527777778	2.424	3	3
"33"	"US014"	"inv"	40.1222666666667	3.49866666666667	6	4
"34"	"US015"	"inv"	42.7253611111111	3.36175	6	2.83333333333333
"35"	"US020"	"inv"	46.9839888888889	3.0982	3	2.66666666666667
"36"	"US021"	"inv"	46.617	4.10757142857143	3	5.33333333333333
"37"	"US022"	"inv"	45.74515	2.85316666666667	5	2.6
"38"	"US023"	"inv"	39.224275	3.16275	3	1.66666666666667
"39"	"US026"	"inv"	40.3719055555556	2.912	3	6.33333333333333
