ID	LfCount2	MaxLfLgth2	MaxLfWdth2	LfYellow	BoltHtm2
TR001.24.d	15	33.2	4.2	n	
RO003.9.m	14	24.1	3.2	y	
GR003.10.a	10	25.3	6.7	n	
UA002.15.d	21	22.9	5	y	
TR003.15.h	8	21.8	1.9	n	
US015.3.g	14	18.1	4.3	n	
CA001.4.f	25	21.8	5.6	n	
RO005.25.l	12	31.7	8.6	n	
CA007.4.b	17	18.7	5.2	y	
RU003.1.e	17	24.5	3.1	y	
RU001.6.h	15	25.2	5	n	
BG001.29.d	16	18.4	3.7	y	
RU008.17.c	15	32.2	7.1	y	
UA003.8.i	15	35	4.5	y	
RU004.5.b	16	25.1	5.2	y	
US023.34.b	11	23	6.4	y	
UA005.7.b	15	29.3	5.4	n	
HU001.28.g	24	18	3.8	n	
UA004.27.c	18	18.7	4.2	n	
CA008.6.h	14	22	4.6	y	
US003.20.b	17	20.4	5	y	
GR002.8.b	14	20	3.6	n	
US002.22.o	15	19.7	5.6	y	
TR004.14.e	9			n	
US003.28.c	31			y	
US002.5.b	20			n	
BG001.17.j	20			n	
GR001.6.b	11			n	
CA007.4.a	23			n	
RO002.18.f	19			n	
GR003.12.d	18			n	
UA006.14.e	15			n	
RO003.21.e	15			y	
GR002.13.c	14			y	
TR001.19.c	18			n	
US022.41.f	18			y	
RU008.19.k	22			n	
RO004.13.d	16			n	
UA004.15.h	23			y	
US001.3.g	18			n	
US015.2.b	20			n	
UA003.8.a	17			n	
RU001.10.i	21			n	
CA001.2.j	19			y	
RO005.17.c	21			n	
RO001.13.d	22			n	
US026.23.b	14			n	
HU001.24.f	18			n	
RU002.6.b	22			y	
UA008.18.e	15			n	
US014.22.h	15			n	
UA002.18.e	17			n	
CA007.2.a	19			n	
RO005.25.f	18			y	
UA003.9A.a	16			n	
CA001.2.c	20			n	
TR003.2.f	17			n	
HU001.14.k	15			n	
US001.3.i	17			n	
RU008.21.d	20			n	
US022.42.k	19			n	
GR003.3.g	24			n	
US011.8.b	14			n	
US020.27.b	18			n	
TR001.10.h	14			n	
GR002.2.j	20			n	13.7
US002.24.b	19			n	
UA005.3.b	18			n	
RU005.11.e	21			n	
US003.6.i	14			n	
US012.31.f	15			n	
RO004.20.d	20			n	
RO002.22.f	16			n	
RO003.11.e	20			n	
US014.17.c	15			n	
US018.31.a	17			n	
US015.3.k	18			n	
UA006.14.b	14			y	
RO001.21.d	16			n	
UA001.22.c	19			 n	
CA008.5.a	28			n	
US026.24.c	15			n	
