ID	LfCount2	MaxLfLgth2	MaxLfWdth2	LfYellow	BoltHtm2
BG001.22.b	30	21.4	4.1	y	
RU001.6.f	20	22.9	4.5	n	
UA004.5.f	17	27	3.6	y	
US012.31.b	11	23.9	4.6	n	
CA001.2.i	12	20.7	5.7	y	
TR001.12.i	14	23.2	4.5	y	
US015.13.b	16	23.6	5.2	y	
GR003.17.e	11	26.7	4.4	y	
UA001.18.d	17	28.3	4.9	y	
US022.42.d	13	22.5	4.7	y	
CA008.4.i	10	28.2	7.9	n	
RU005.5.a	17	23	4.2	y	
RO003.21.k	15	20.7	2.8	y	
RO001.13.b	12	24	3.9	y	
GR001.26.h	12	24.7	3.7	n	
US001.23.b	16	24.9	5	n	
RO002.18.d	13	20.8	3.8	n	
UA002.13.b	19	23.9	4.8	y	
US003.19.i	12	20	4.6	y	
TR004.27.g	15	29.6	5.2	n	
GR002.2.i	21	24	3.5	y	
US021.3.c	14	21.2	5.5	y	
HU001.5.j	13	19.1	5.2	y	
RU008.18.a	16	21.6	4.4	n	
UA006.14.j	11	24.4	5.1	y	
RO004.13.j	17	19.3	3.7	y	
RO005.17.e	15	23.7	5.5	y	
US002.17.j	16	20.1	3.2	y	
US011.13.c	22	18.5	3.3	n	
UA008.18.h	9	22.5	4.9	n	
RU003.4.a	21	16.2	3.1	y	
UA001.22.d	15	16.5	4.8	y	
RO002.15.a	15	19	3.2	y	
US015.17.h	10	20.7	4.3	y	
UA002.15.b	11	27.4	7.2	y	
RO001.6.g	8	18.6	4.3	y	25
RO004.20.i	18	15.5	2.9	y	
CA008.5.f	10	20.1	2.8	y	
TR003.6.b	10	21.4	4.1	y	
CA001.3.f	10	19.8	6.1	y	
UA003.11A.d	11	28	5.1	y	
US021.10.a	13	19.3	3.9	y	
RU005.7.d	16	20.5	4.5	y	
TR001.1.g	24	20.6	3.8	y	
US002.1.i	10	14.9	2.2	y	
US012.31.h	11	19.1	1.8	y	
US020.24.b	16	18.5	5.4	y	
RU008.18.e	22	18.7	4.4	y	
US022.23.j	11	18	3.6	y	
TR005.9.a	7	20	4.8	y	
UA004.5.i	14	19.8	3.1	y	
GR001.28.i	11	19.4	5.2	y	
RU004.10.b	12	22.5	5.6	y	
GR003.9.f	15	22.1	5.1	y	
GR002.17.a	14	23.7	4.8	y	
UA005.18.j	12	20.5	5.2	y	
BG001.22.j	20	16.3	3	y	
HU001.5.k	15	16.6	5.7	y	
RO005.23.i	11	22	5.7	y	
US001.23.j	13	23	5.6	y	
RU001.6.d	14	15.7	3.9	y	
RO003.4.e	13	18.6	3.9	y	
TR004.14.f	9	20.6	4.2	y	
US003.19.b	13	19.7	4.9	y	
RU002.6.a	21	18.8	5	y	
US026.24.i	9	15.1	3.6	y	
RO003.4.c	17	20.6	4.6	y	
RU008.21.h	17	23.8	4.4	y	
UA003.9A.g	12	22.4	7.2	y	
TR001.10.a	11	22.9	5.7	y	
HU001.28.i	15	20.5	5.9	y	
RO001.21.a	12	21	4.1	y	
GR002.2.f	15	18.4	4.4	y	12
GR001.14.c	8	16.9	4.5	y	
RU004.10.a	12	19.6	4.1	y	
GR003.10.i	10	21.1	4.2	y	
TR003.15.c	11	18.6	3.8	y	
CA008.2.c	15	21.9	3.3	n	
BG001.22.g	20	18.6	5	y	
US011.8.i	14	21.3	6.5	y	
US002.24.d	18	23.3	7.1	y	
US001.20.f	12	23.2	4.7	y	
CA001.2.f	8	23.1	4	y	
US003.20.f	12	18.1	3.9	y	
US014.4.b	14	17.7	2.8	y	
US015.13.a	14	17.6	5.2	y	
RO002.15.j	12	17.3	4.1	y	
RO004.3.a	17	20.2	4.7	y	
RU005.11.d	18	17.1	4	y	
TR004.8.b	8	19.6	3.9	y	
UA005.7.h	14	18.1	6.3	y	
US022.31.f	12	16.9	3.7	y	
TR005.18.j	9	18.3	4.7	y	
RO005.14.a	11	16.5	3.5	y	
