ID	LfCount1	MaxLfLgth1	MaxLfWdth1
RU001.7.c	11	15.6	5.1
RO005.15.h	8	11	2.4
US002.17.a	14	16.1	3.2
RO001.12.e	11	16.6	3.4
UA008.25.d	6	11	1.2
UA003.7A.i	14	19.6	4.8
GR003.10.e	11	16.7	4
US015.15.d	8	13.5	2.9
CA008.5.i	12	12.5	1.3
US022.41.a	11	13.3	2.2
US013.23.b	4	10	1.5
TR005.9.f	3	4.4	0.4
US026.15.d	5	12.7	1.5
US018.11.c	7	7.3	1.6
RO003.11.h	8	14.4	2.8
US014.16.m	6	12.5	2.1
UA006.10.b	12	14.8	3.1
US002.17.f	12	15	2.9
US023.34.c	9	13.2	3.9
UA008.18.g	6	11	2.1
US015.15.a	11	14.7	1.9
RO003.15.f	12	12.1	2.7
RO004.3.c	11	13.3	2.6
RO005.15.b	9	13	2.5
UA004.7.c	13	13.8	4.6
RO001.21.j	10	11.4	2.1
TR001.24.b	6	15.8	2.7
UA003.7A.b	11	15.5	4.2
CA001.3.d	13	15.1	3.9
US026.24.b	5	11.5	1.3
RU001.2.c	12	10	3.6
UA002.18.b	10	17.4	4.2
CA008.4.a	13	14.5	2.5
RU008.18.j	11	13	2.9
HU001.24.k	12	17.2	4
US014.17.e	7	14.6	3.2
GR003.10.h	7	15.3	3.5
TR003.24.a	7	7.6	2.6
US003.6.c	10	13.9	2.2
UA005.7.c	9	16	4.5
UA001.18.g	11	14	4.6
BG001.25.d	12	12.1	3.2
UA007.19.c	4	8.5	1
US001.22.i	12	10.8	2.3
RO002.22.g	10	12.4	2.4
CA007.2.c	13	10.1	2.1
TR004.8.e	10	11.2	3
CA007.2.b	10	13	3
GR001.26.i	6	12.3	1.4
RO004.21.h	12	14	3.2
RU002.5.c	10	11.1	3.2
RO001.13.c	12	12.5	3.1
UA005.3.c	9	18.2	4.4
RU008.21.f	13	21.2	4
US015.2.d	10	15	5.2
CA001.7.b	10	20.8	5.3
RO005.14.d	9	13.9	3.8
UA001.19.a	7	11.1	4.2
RO002.18.e	6	10.6	2.4
GR002.2.c	11	16.4	3.3
US001.3.b	12	15.3	3
US003.28.i	10	17.3	4.8
RO003.4.d	10	12.7	3.4
RU003.7.a	7	12.9	3
US022.17.f	14	11.8	2.5
UA007.20.d	6	13.6	2.2
UA004.18.d	11	15	3.2
UA003.11A.f	10	17.1	3.5
BG001.17.c	11	13	3.3
RU004.7.e	11	12	2.1
GR003.9.i	8	17	4.2
US023.41.f	12	13.8	2
TR001.1.h	12	16.2	2.8
US014.22.f	9	16	4.7
RU001.6.b	12	15.3	3.9
US002.1.d	13	15.3	2.9
TR003.14.d	9	11.4	2.8
HU001.13.e	8	14	3.1
TR005.18.m	7	11.7	3.3
TR003.2.c	6	10.2	1.8
GR001.6.a	5	12.5	1.1
US014.17.c	9	16.2	4.3
RU001.7.e	9	14.2	4.2
RO005.23.b	11	17.6	4.4
RO003.11.a	7	9.5	3.2
UA003.6.c	9	19.7	5.1
HU001.24.d	9	14.6	4.5
GR003.12.g	8	15.6	1.2
UA004.18.f	15	14.6	3.3
RU008.17.b	11	13.6	3.2
GR002.8.f	10	10.6	4
RU002.7.a	4	12.6	1.7
UA001.25.e	14	13.2	3.6
UA005.18.a	12	17.5	3.1
TR004.8.d	8	13.8	2.2
CA008.4.e	12	11.2	3
UA008.24.a	6	9.8	1.6
BG001.17.a	11	12.9	3.1
RO001.12.d	10	19	4.1
US001.22.g	12	16.4	4.7
US023.34.f	12	13.8	4.6
US015.15.b	10	16.2	2
US002.5.e	11	10.7	2.6
RO004.12.d	12	10.2	1.4
TR001.19.d	8	12	2.4
US021.1.a	5	10.9	1.3
US003.27.e	10	13.6	3.4
CA001.3.c	8	13.3	4.2
RO002.18.g	4	7.3	0.7
US022.17.b	12	9.9	2.7
UA003.8.b	6	7.9	2.1
RO005.17.j	9	10.8	2.3
US002.5.g	13	15.6	4.2
US003.20.h	9	15.1	2.5
US021.5.c			
CA008.5.b	11	11.5	2.5
GR003.12.f	7	14.1	3.6
TR003.14.i	4	5.6	1.2
US018.5.d	7	14.2	2.9
RU005.7.a	13	10.2	2.3
CA001.6.d	10	15.5	5.7
US011.8.j	12	11.1	4.1
UA001.22.f	7	15.8	1.8
TR001.24.e	9	17	3.7
GR002.2.e	12	14.1	2.2
RU008.17.e	11	14.1	3.1
US023.34.g	11	14.2	3.2
RU001.2.h	14	16.1	3.3
US014.16.d	10	16	2.5
UA004.7.d	15	11.7	2.8
HU001.13.g	6	15	1.7
RO004.20.b	11	14.1	3
UA006.10.g	5	15.1	1.9
US015.15.i	8	11.8	2.3
RO001.12.b	11	15.6	2.9
RU003.4.a	10	12.8	1.5
RO003.15.h	12	11.1	2.6
US001.23.i	13	13.1	3.2
RO002.18.b	8	12.3	3
UA005.15.b	9	11.5	2.9
GR001.26.j	7	13.8	4
BG001.25.j	13	12.1	3.2
RO005.15.d	10	14.6	2.7
TR004.8.a	10	13.4	1.9
RO004.3.d	13	14	2.6
CA008.6.d	8	13	4
RO003.15.a	10	12.8	2.7
US002.1.g	13	16.7	2.5
US003.28.e	14	16.3	3.3
GR003.3.h	13	13.4	2.9
UA003.7A.a	15	17.3	4.7
GR001.14.d	10	14.5	4.4
US026.24.e	6	10.1	1.4
RU008.21.b	19	17.2	4.7
UA005.7.g	11	15.7	4.6
US015.17.j	9	14.6	3.8
BG001.16.e	14	11.5	3.1
TR001.1.a	12	15	3.5
UA004.18.e	12	10.2	3.3
TR005.20.f	9	12.7	2.9
RU001.6.a	12	17.7	5.1
RO001.12.i	11	12.4	2.6
RU004.8.c	10	14	1.9
HU001.13.h	6	14.2	1.7
US001.14.h	15	10.6	3.1
GR002.13.g	9	10.4	2.2
CA001.4.b	9	12	3.5
RO002.22.e	9	10.3	2.3
US022.42.g	11	10.3	1.5
RU001.10.f	7	13.4	2
US001.3.c	9	11	1.3
UA002.13.a	10	17	5.6
US002.1.c	13	14.8	4.5
CA001.6.i	13	14	4
CA008.6.f	6	14.1	3
US017.36.e	2	4.7	0.7
RO002.22.d	6	9.2	1.7
UA005.18.h	13	14.6	4.5
RU008.18.h	11	14.5	5.4
TR004.18.d	10	14.2	4.2
US021.3.a	12	14.4	3.8
UA003.11A.b	11	14.4	3.5
UA001.11.h	10	11.6	3.5
GR002.25.d	10	15.7	3.9
US014.16.j	11	14.5	5.2
US011.8.a	11	13.8	4.6
GR003.10.g	9	17.9	4
US020.24.c	11	15.7	3.5
US015.17.k	7	12	3.1
TR001.12.d	9	18.5	3.3
US003.6.h	6	11.8	2.4
RO005.17.i	9	9.6	3.3
RO003.21.d	10	13.2	2.7
US023.12.a	3	7.4	1.2
BG001.16.j	11	14.1	3.9
HU001.24.j	11	13.3	4.1
RO004.13.m	13	14.6	3.9
US022.23.d	9	14	4
US026.3.b	12	13.8	4.3
UA004.15.d	12	13	4.2
RO004.13.c	14	13.8	3.2
GR001.24.d	11	15.9	4.2
US021.8.j	11	12.2	4.2
TR005.20.d	7	11.8	3.5
UA005.3.e	8	14.3	1.8
RO002.15.h	9	10.6	4.5
US014.17.f	6	10.9	1.9
CA008.5.c	13	11.5	3
US001.20.i	13	13.8	3.4
US002.24.g	10	15.5	3.6
RU008.16.a			
CA001.7.d	12	14.2	4.2
US012.28.c	5	14.7	2.4
HU001.5.d	8	17.4	3.2
US003.28.a	12	16.5	4.4
RO005.23.c	12	15.7	3.2
US020.42.f	13	13.2	2.6
RU003.1.a	11	16.5	3.8
UA003.6.d	11	13.5	3.7
UA001.11.c	10	14.8	3.5
TR001.24.c	8	16	3.8
RU004.9.a	6	13.8	1.4
RO003.21.g	9	15	3.2
GR003.17.h	8	16.5	2.8
US015.15.j	7	13.1	2.6
RO001.28.f	10	12.9	2.7
US022.31.a	11	17.8	3.1
BG001.29.e	11	10.4	2.5
UA002.15.f	10	13.8	3.8
UA004.15.f	12	12.4	3.2
TR003.24.i	7	9.4	2.4
US001.3.e	6	10.7	1.5
US022.23.i	8	13.4	2.3
RO003.15.g	11	12.6	3.6
RU001.9.b	8	10.2	3.5
RU002.1.c	11	11.9	2.6
UA003.8.c	11	14.9	1.4
RO002.15.d	12	14.2	3.9
RU008.16.c	9	13.7	3.5
US002.24.c	12	14.7	3.1
RO005.14.j	9	16	3.3
UA006.14.a	11	17.7	3.4
RU005.7.e	13	14.8	3.3
CA001.3.b	10	16	5.4
GR001.28.f	9	13.2	3.7
TR001.12.e	12	14.3	3.4
UA005.13.b	15	14.5	3.8
RO001.13.g	8	14.9	3.2
GR002.8.g	7	13.2	2.7
BG001.22.d	11	13.2	2.8
US014.20.a	9	14	4.7
UA001.11.e	9	14.9	3.8
US023.26.a	9	14.4	4.6
UA004.15.a	12	13.4	4.1
TR005.20.e	8	11.7	2.6
