PopID	Rack	Pos	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log	Latitude	Longitude	bolt.bin
18	CA008	11	43	5	a	inv	cut	CA008.5.a	77	54	n	77	9.29	2.596	28	n	NA	15	11.4	2.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.87298334620742	2.43361335540045	0.741937344729377	5.29150262212918	7.34846922834953	2.22893855282575	0.953971798841844	49.0120833333333	-118.645711111111	0
19	CA008	41	26	4	f	inv	cut	CA008.4.f	76	11	y	76	4.98	0.278	14	n	NA	8	15.5	2.9	NA	NA	69	NA	NA	NA	NA	NA	NA	69	1	7.5	NA			2.82842712474619	2.7408400239252	1.06471073699243	3.74165738677394	3.3166247903554	1.60542989103656	-1.2801341652915	49.0120833333333	-118.645711111111	1
20	CA008	33	49	4	b	inv	cut	CA008.4.b	76	39	y	76	6.68	1.174	17	n	NA	10	13.5	3.4	NA	NA	76	NA	NA	NA	NA	NA	NA	76	NA	4	NA			3.16227766016838	2.60268968544438	1.22377543162212	4.12310562561766	6.2449979983984	1.89911798754855	0.160416721405905	49.0120833333333	-118.645711111111	1
21	GR001	33	4	14	i	nat	cut	GR001.14.i	76	25	n	76	7.16	1.019	13	n	NA	9	12.3	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.50959926237837	1.06471073699243	3.60555127546399	5	1.96850998097255	0.0188217542405877	40.1566666666667	22.5480555555556	0
22	GR001	10	10	6	b	nat	cut	GR001.6.b	76	26	n	76	5.62	0.944	11	n	NA	7	11.2	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.41591377830105	1.33500106673234	3.3166247903554	5.09901951359278	1.7263316639056	-0.0576291128366364	40.1566666666667	22.5480555555556	0
23	GR001	11	49	26	c	nat	cut	GR001.26.c	77	30	n	77	7.82	2.49	14	n	NA	7	14.2	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.65324196460721	0.641853886172395	3.74165738677394	5.47722557505166	2.05668455455722	0.912282710476616	40.1566666666667	22.5480555555556	0
24	GR001	16	3	28	h	nat	cut	GR001.28.h	77	25	n	77	7.33	0.83	14	n	NA	9	16.6	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.8094026953625	1.25276296849537	3.74165738677394	5	1.99197551589856	-0.186329578191493	40.1566666666667	22.5480555555556	0
25	GR001	41	27	14	h	nat	cut	GR001.14.h	76	11	y	76	5.94	0.441	11	n	NA	8	16	3.2	NA	NA	50	NA	NA	NA	50	1	11	69	1	33	NA			2.82842712474619	2.77258872223978	1.16315080980568	3.3166247903554	3.3166247903554	1.78170913337455	-0.818710403535291	40.1566666666667	22.5480555555556	1
26	GR001	4	35	14	l	nat	cut	GR001.14.l	76	18	n	76	7.14	1.379	14	n	NA	10	15.9	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.76631910922619	1.28093384546206	3.74165738677394	4.24264068711928	1.96571277635149	0.321358598811165	40.1566666666667	22.5480555555556	0
27	GR001	38	18	26	g	nat	cut	GR001.26.g	76	0	y	76	4.35	0.549	14	n	6.1	8	17	3.8	NA	NA	18	18	1	6.1	NA	1	38.5	69	1	39.5	63	white		2.82842712474619	2.83321334405622	1.33500106673234	3.74165738677394	0	1.47017584510059	-0.599656837472606	40.1566666666667	22.5480555555556	1
