Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log
US003.19.e	16	22	US003	19	e	inv	cut	US003.19.e	77	27	n	77	6.73	1.748	17	n	NA	11	10.3	2.5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.33214389523559	0.916290731874155	4.12310562561766	5.19615242270663	1.90657514365664	0.558472277233344
TR005.18.a	16	25	TR005	18	a	nat	cut	TR005.18.a	77	5	n	77	5.09	0.365	11	y	NA	10	10.5	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.35137525716348	1.1314021114911	3.3166247903554	2.23606797749979	1.62727783056243	-1.00785792539965
UA006.22.b	16	28	UA006	22	b	nat	cut	UA006.22.b	77	38	n	77	7.57	0.639	14	y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	3.74165738677394	6.16441400296898	2.02419306744936	-0.447850824604602
US021.8.d	16	30	US021	8	d	inv	cut	US021.8.d	77	30	n	77	7.53	1.664	14	n	NA	8	15.9	3.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.76631910922619	1.3609765531356	3.74165738677394	5.47722557505166	2.0188950418118	0.509224342399017
US001.14.a	16	32	US001	14	a	inv	cut	US001.14.a	77	31	n	77	7.43	1.53	20	y	NA	13	15.2	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.72129542785223	1.19392246847243	4.47213595499958	5.56776436283002	2.00552585872967	0.425267735404344
CA008.2.d	16	33	CA008	2	d	inv	cut	CA008.2.d	77	28	n	77	6.71	2.388	17	n	NA	10	14.2	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.65324196460721	0.955511445027436	4.12310562561766	5.29150262212918	1.90359895098359	0.870456195530356
RO003.9.f	16	34	RO003	9	f	nat	cut	RO003.9.f	77	18	y	77	7.07	0.917	18	n	NA	8	13.6	2.7	NA	NA	53	NA	NA	NA	53	4.3	NA	69	1	32	NA			2.82842712474619	2.61006979274201	0.993251773010283	4.24264068711928	4.24264068711928	1.95586047990848	-0.0866478067256722
RU001.10.e	16	36	RU001	10	e	nat	cut	RU001.10.e	77	13	n	77	6.11	0.598	14	y	NA	7	10	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.30258509299405	0.405465108108164	3.74165738677394	3.60555127546399	1.8099267731835	-0.514164525031505
US002.17.c	16	37	US002	17	c	inv	cut	US002.17.c	NA	NA		77	7.55	1.389	26	y	NA	17	16.2	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			4.12310562561766	2.78501124223834	1.52605630349505	5.09901951359278	NA	2.02154756326093	0.328584063772207
HU001.14.h	16	39	HU001	14	h	nat	cut	HU001.14.h	77	30	n	77	7.45	1.873	17	n	NA	11	15.6	4.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.74727091425549	1.58923520511658	4.12310562561766	5.47722557505166	2.00821403239147	0.627541423461951
US020.42.b	16	40	US020	42	b	inv	cut	US020.42.b	77	24	n	77	8.12	1.052	15	n	NA	10	15	3.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.70805020110221	1.1314021114911	3.87298334620742	4.89897948556636	2.09433015417359	0.0506931143155182
UA005.18.e	16	41	UA005	18	e	nat	cut	UA005.18.e	77	24	n	77	6.76	1.335	20	n	NA	10	12.9	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.55722731136763	0.955511445027436	4.47213595499958	4.89897948556636	1.91102289005487	0.288931291852213
RU008.18.c	16	43	RU008	18	c	nat	cut	RU008.18.c	77	29	n	77	7.68	1.619	17	n	NA	12	13.1	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.57261223020711	0.916290731874155	4.12310562561766	5.3851648071345	2.03861954715958	0.481808674695498
RO005.15.c	16	44	RO005	15	c	nat	cut	RO005.15.c	77	36	n	77	6.32	1.743	18	y	NA	9	12.9	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.55722731136763	1.02961941718116	4.24264068711928	6	1.84371920815877	0.555607766537884
US014.16.c	16	46	US014	16	c	inv	cut	US014.16.c	77	24	n	77	8.84	0.796	17	n	NA	10	15.4	5.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.73436750941958	1.66770682055808	4.12310562561766	4.89897948556636	2.17928687664955	-0.228156093137754
US015.3.a	16	47	US015	3	a	inv	cut	US015.3.a	77	22	n	77	8.72	1.185	17	n	NA	13	14	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.63905732961526	1.06471073699243	4.12310562561766	4.69041575982343	2.16561923792089	0.169742774587095
UA003.6.j	16	48	UA003	6	j	nat	cut	UA003.6.j	77	15	n	77	6.56	0.804	14	n	NA	9	13.5	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.60268968544438	1.30833281965018	3.74165738677394	3.87298334620742	1.880990602956	-0.218156009803171
TR004.18.g	16	49	TR004	18	g	nat	cut	TR004.18.g	77	16	n	77	6.27	0.677	11	n	NA	8	11.8	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.46809953147162	1.19392246847243	3.3166247903554	4	1.83577635464483	-0.390084006069862
US023.34.a	16	50	US023	34	a	inv	cut	US023.34.a	77	27	n	77	6.03	1.885	15	y	NA	8	14.1	4.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.64617479738412	1.54756250871601	3.87298334620742	5.19615242270663	1.79674701073909	0.633927820899974
RU002.1.f	33	1	RU002	1	f	nat	cut	RU002.1.f	76	39	n	76	7.39	1.967	26	n	NA	14	18.6	4.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.74165738677394	2.92316158071916	1.45861502269952	5.09901951359278	6.2449979983984	2.00012773496011	0.676509539406922
RO005.15.i	33	2	RO005	15	i	nat	cut	RO005.15.i	76	35	n	76	5.74	0.919	15	n	NA	8	14.5	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.67414864942653	0.8754687373539	3.87298334620742	5.91607978309962	1.74745921033147	-0.08446915662645
GR001.14.i	33	4	GR001	14	i	nat	cut	GR001.14.i	76	25	n	76	7.16	1.019	13	n	NA	9	12.3	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.50959926237837	1.06471073699243	3.60555127546399	5	1.96850998097255	0.0188217542405877
TR004.14.i	33	7	TR004	14	i	nat	cut	TR004.14.i	76	11	n	76	6.01	0.447	12	n	NA	11	14.1	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.64617479738412	1.22377543162212	3.46410161513775	3.3166247903554	1.79342474854712	-0.805196684368568
RU008.19.b	33	8	RU008	19	b	nat	cut	RU008.19.b	76	43	n	76	8.27	2.017	20	n	NA	12	14.5	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.67414864942653	1.25276296849537	4.47213595499958	6.557438524302	2.1126345090356	0.701611258972075
RU001.2.g	33	10	RU001	2	g	nat	cut	RU001.2.g	76	33	n	76	8.92	3.358	21	n	NA	14	13.7	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.74165738677394	2.61739583283408	1.19392246847243	4.58257569495584	5.74456264653803	2.18829594659192	1.21134555865535
CA001.6.a	33	11	CA001	6	a	inv	cut	CA001.6.a	76	38	n	76	9.32	2.362	18	n	NA	10	17.6	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.86789890204411	1.52605630349505	4.24264068711928	6.16441400296898	2.2321626286975	0.859508717775171
BG001.25.f	33	12	BG001	25	f	nat	cut	BG001.25.f	76	35	n	76	7.01	1.624	19	n	NA	12	15.2	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.72129542785223	1.25276296849537	4.35889894354067	5.91607978309962	1.9473377010465	0.484892241739486
US014.16.f	33	14	US014	16	f	inv	cut	US014.16.f	76	27	n	76	6.34	2.59	14	n	NA	9	14	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.63905732961526	0.832909122935104	3.74165738677394	5.19615242270663	1.84687876844913	0.951657875711446
US001.22.h	33	17	US001	22	h	inv	cut	US001.22.h	76	34	n	76	6.18	1.887	22	n	NA	12	14.6	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.68102152871429	1.33500106673234	4.69041575982343	5.8309518948453	1.8213182714696	0.634988266386413
UA005.15.e	33	20	UA005	15	e	nat	cut	UA005.15.e	76	0	n	76	6.92	1.254	14	n	NA	9	10.5	3	NA	NA	53	NA	NA	NA	53	1	17.5	69	1	37	NA			3	2.35137525716348	1.09861228866811	3.74165738677394	0	1.93441576962958	0.226338442210729
US026.35.a	33	21	US026	35	a	inv	cut	US026.35.a	76	21	n	76	4.63	1.29	12	n	NA	4	10	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2	2.30258509299405	0.405465108108164	3.46410161513775	4.58257569495584	1.53255686809814	0.254642218373581
TR001.12.c	33	23	TR001	12	c	nat	cut	TR001.12.c	76	34	n	76	6.74	2.022	15	n	NA	12	20.5	2.8	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	3.02042488614436	1.02961941718116	3.87298334620742	5.8309518948453	1.90805992492422	0.70408712059828
RO003.9.d	33	24	RO003	9	d	nat	cut	RO003.9.d	76	15	n	76	6.69	0.948	17	n	NA	11	12.2	2.3	NA	NA	53	NA	NA	NA	53	1	27.7	69	1	33.5	NA			3.3166247903554	2.50143595173921	0.832909122935104	4.12310562561766	3.87298334620742	1.90061387414014	-0.0534007767271153
RU003.3.d	33	25	RU003	3	d	nat	cut	RU003.3.d	76	32	n	76	6.85	2.39	18	n	NA	12	13.4	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.59525470695687	0.741937344729377	4.24264068711928	5.65685424949238	1.92424865227413	0.871293365943419
RU004.6.b	33	26	RU004	6	b	nat	cut	RU004.6.b	76	35	y	76	7.2	2.04	17	n 	NA	11	15	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.70805020110221	0.916290731874155	4.12310562561766	5.91607978309962	1.97408102602201	0.712949807856125
RO001.13.i	33	27	RO001	13	i	nat	cut	RO001.13.i	76	27	n	76	6.73	1.591	16	n	NA	9	15.8	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.76000994003292	1.1314021114911	4	5.19615242270663	1.90657514365664	0.46436274935565
UA003.7A.e	33	28	UA003	7A	e	nat	cut	UA003.7A.e	76	18	y	76	9.2	2.811	13	n	NA	9	14.8	2.9	NA	NA	69	NA	NA	NA	NA	NA	NA	69	1	3.5	NA			3	2.69462718077007	1.06471073699243	3.60555127546399	4.24264068711928	2.21920348405499	1.03354029192439
UA004.27.g	33	29	UA004	27	g	nat	cut	UA004.27.g	76	32	n	76	8.37	1.548	19	n	NA	14	13.6	2.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.74165738677394	2.61006979274201	0.741937344729377	4.35889894354067	5.65685424949238	2.12465388450138	0.436963775167535
GR003.10.d	33	30	GR003	10	d	nat	cut	GR003.10.d	76	25	y	76	7.76	1.348	16	n	NA	8	13.2	3.2	NA	NA	53	NA	NA	NA	53	1	2.6	69	1	32.5	NA			2.82842712474619	2.58021682959233	1.16315080980568	4	5	2.04898233419513	0.298622012490115
RO002.12.g	33	32	RO002	12	g	nat	cut	RO002.12.g	76	20	n	76	7.06	0.731	16	n	NA	8	13.4	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.59525470695687	0.741937344729377	4	4.47213595499958	1.95444505150515	-0.313341819232359
RO004.13.h	33	33	RO004	13	h	nat	cut	RO004.13.h	76	39	n	76	8.64	1.405	22	n	NA	13	13.5	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.60268968544438	0.741937344729377	4.69041575982343	6.2449979983984	2.15640258281596	0.340037302785709
TR003.6.a	33	35	TR003	6	a	nat	cut	TR003.6.a	76	20	n	76	4.58	0.179	12	n	NA	6	14.4	1.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.44948974278318	2.66722820658195	0.0953101798043249	3.46410161513775	4.47213595499958	1.52169899812609	-1.72036947314138
US002.22.a	33	39	US002	22	a	inv	cut	US002.22.a	76	23	n	76	7.18	1.321	18	n	NA	13	16.9	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.82731362192903	1.1314021114911	4.24264068711928	4.79583152331272	1.97129938306013	0.278389025540188
UA008.25.h	33	41	UA008	25	h	nat	cut	UA008.25.h	76	19	y	76	5.6	1.344	13	n	NA	NA	NA	NA	NA	NA	53	NA	NA	NA	53	1	5.5	69	1	45	NA			NA	NA	NA	3.60555127546399	4.35889894354067	1.7227665977411	0.295650242100958
HU001.14.d	33	44	HU001	14	d	nat	cut	HU001.14.d	76	40	n	76	6.63	1.712	21	n	NA	13	10	4.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.30258509299405	1.52605630349505	4.58257569495584	6.32455532033676	1.89160480419777	0.53766227771955
US012.28.e	33	46	US012	28	e	inv	cut	US012.28.e	76	12	n	76	4.06	0.321	8	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	2.82842712474619	3.46410161513775	1.40118297361364	-1.13631415585212
US003.20.g	33	47	US003	20	g	inv	cut	US003.20.g	76	29	n	76	6.39	1.568	16	n	NA	11	15.6	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.74727091425549	1.28093384546206	4	5.3851648071345	1.85473426838944	0.449800921928216
CA008.4.b	33	49	CA008	4	b	inv	cut	CA008.4.b	76	39	y	76	6.68	1.174	17	n	NA	10	13.5	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.60268968544438	1.22377543162212	4.12310562561766	6.2449979983984	1.89911798754855	0.160416721405905
GR002.8.a	33	50	GR002	8	a	nat	cut	GR002.8.a	76	22	y	76	7.36	1.09	16	n	NA	11	12.1	3.1	NA	NA	53	NA	NA	NA	53	1	4.4	69	1	31.5	NA			3.3166247903554	2.4932054526027	1.1314021114911	4	4.69041575982343	1.99605993274078	0.0861776962410524
TR001.12.a	38	2	TR001	12	a	nat	cut	TR001.12.a	76	7	y	76	6.73	1.391	18	n	NA	11	16	4.5	NA	NA	53	NA	NA	NA	53	1	40	69	1	40	NA			3.3166247903554	2.77258872223978	1.50407739677627	4.24264068711928	2.64575131106459	1.90657514365664	0.330022912941306
CA001.4.j	38	4	CA001	4	j	inv	cut	CA001.4.j	76	27	n	76	5.27	1.291	16	n	NA	10	13.5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.60268968544438	1.38629436111989	4	5.19615242270663	1.66203036255327	0.255417111864505
UA003.9A.f	38	5	UA003	9A	f	nat	cut	UA003.9A.f	76	15	n	76	6.89	2.12	16	n	NA	12	15	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.70805020110221	1.70474809223843	4	3.87298334620742	1.93007108502557	0.751416088683921
GR002.13.j	38	7	GR002	13	j	nat	cut	GR002.13.j	76	25	n	76	8.29	1.458	17	n	NA	8	5	4.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	1.6094379124341	1.48160454092422	4.12310562561766	5	2.1150499691472	0.377065633586466
RO003.11.f	38	9	RO003	11	f	nat	cut	RO003.11.f	76	35	n	76	7.43	1.013	18	n	NA	10	14.6	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.68102152871429	1.28093384546206	4.24264068711928	5.91607978309962	2.00552585872967	0.0129162252665462
UA005.7.e	38	11	UA005	7	e	nat	cut	UA005.7.e	76	41	n	76	4.44	1.069	19	n	NA	12	19	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.94443897916644	1.70474809223843	4.35889894354067	6.40312423743285	1.49065437644413	0.0667236320429081
TR004.8.i	38	13	TR004	8	i	nat	cut	TR004.8.i	76	20	n	76	3.96	0.196	13		NA	7	15.5	3	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.7408400239252	1.09861228866811	3.60555127546399	4.47213595499958	1.37624402526639	-1.62964061975162
UA001.11.a	38	15	UA001	11	a	nat	cut	UA001.11.a	76	12	y	76	7.85	0.942	19	n	NA	13	16.5	4	NA	NA	53	NA	NA	NA	53	1	24.5	69	1	39	NA			3.60555127546399	2.80336038090653	1.38629436111989	4.35889894354067	3.46410161513775	2.06051353179432	-0.059750004405774
US022.17.h	38	16	US022	17	h	inv	cut	US022.17.h	76	19	n	76	6.44	3.17	20	n	NA	13	19.7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.98061863574394	1.79175946922805	4.47213595499958	4.35889894354067	1.86252854011626	1.15373158788919
BG001.29.g	38	17	BG001	29	g	nat	cut	BG001.29.g	76	37	n	76	7.41	1.53	24	n	NA	13	15	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.70805020110221	1.38629436111989	4.89897948556636	6.08276253029822	2.002830439308	0.425267735404344
GR001.26.g	38	18	GR001	26	g	nat	cut	GR001.26.g	76	0	y	76	4.35	0.549	14	n	6.1	8	17	3.8	NA	NA	18	18	1	6.1	NA	1	38.5	69	1	39.5	63	white		2.82842712474619	2.83321334405622	1.33500106673234	3.74165738677394	0	1.47017584510059	-0.599656837472606
RO005.17.d	38	20	RO005	17	d	nat	cut	RO005.17.d	76	21	y	76	6.35	0.774	15	n	NA	10	14.9	4.5	NA	NA	69	NA	NA	NA	NA	NA	NA	69	1	27	NA			3.16227766016838	2.70136121295141	1.50407739677627	3.87298334620742	4.58257569495584	1.8484548129046	-0.25618340539241
GR003.3.a	38	23	GR003	3	a	nat	cut	GR003.3.a	76	5	y	76	6.3	0.732	3	n	44.9	9	13	3.5	15	NA	18	18	1	44.9	39	1	42.3	69	1	47.5	43	white		3	2.56494935746154	1.25276296849537	1.73205080756888	2.23606797749979	1.84054963339749	-0.311974765020825
US012.29.a	38	24	US012	29	a	inv	cut	US012.29.a	76	25	n	76	5.94	0.745	11	n	NA	8	18.5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.91777073208428	1.79175946922805	3.3166247903554	5	1.78170913337455	-0.294371060602578
UA006.10.d	38	25	UA006	10	d	nat	cut	UA006.10.d	76	33	n	76	6.17	0.626	16	n	NA	8	18.3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.82842712474619	2.90690105984738	1.6094379124341	4	5.74456264653803	1.8196988379173	-0.468404907882039
RU008.21.i	38	27	RU008	21	i	nat	cut	RU008.21.i	76	46	n	76	6.6	1.726	22	n	NA	15	18	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.87298334620742	2.89037175789616	1.38629436111989	4.69041575982343	6.78232998312527	1.88706964903238	0.545806592661236
RU003.4.d	38	28	RU003	4	d	nat	cut	RU003.4.d	76	29	n	76	7.14	0.649	17	n	NA	12	14.5	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.67414864942653	1.25276296849537	4.12310562561766	5.3851648071345	1.96571277635149	-0.432322562278047
RU005.6.d	38	29	RU005	6	d	nat	cut	RU005.6.d	76	28	n	76	7.94	1.995	23	n	NA	13	17	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.60555127546399	2.83321334405622	1.38629436111989	4.79583152331272	5.29150262212918	2.07191327525904	0.690644050341827
US003.28.d	38	30	US003	28	d	inv	cut	US003.28.d	76	23	n	76	7.72	2.381	12	n	NA	11	20	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.99573227355399	1.38629436111989	3.46410161513775	4.79583152331272	2.04381436403668	0.867520567504726
RO004.21.e	38	31	RO004	21	e	nat	cut	RO004.21.e	76	13	y	76	8.92	1.24	19	n	NA	12	13.1	4	NA	NA	50	NA	NA	NA	50	1	29	69	1	29.5	NA			3.46410161513775	2.57261223020711	1.38629436111989	4.35889894354067	3.60555127546399	2.18829594659192	0.215111379616945
RU001.6.j	38	34	RU001	6	j	nat	cut	RU001.6.j	76	28	n	76	9	1.118	17	n	NA	11	15	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.70805020110221	1.25276296849537	4.12310562561766	5.29150262212918	2.19722457733622	0.111541374732908
HU001.24.a	38	35	HU001	24	a	nat	cut	HU001.24.a	76	14	y	76	7.57	0.707	18	n	NA	10	15.6	2.5	NA	NA	53	NA	NA	NA	53	1	7.3	69	1	33	NA			3.16227766016838	2.74727091425549	0.916290731874155	4.24264068711928	3.74165738677394	2.02419306744936	-0.346724613085564
RO001.28.e	38	36	RO001	28	e	nat	cut	RO001.28.e	76	23	n	76	7.06	0.771	12	n	NA	9	18.3	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.90690105984738	1.70474809223843	3.46410161513775	4.79583152331272	1.95444505150515	-0.260066905418808
US001.3.h	38	37	US001	3	h	inv	cut	US001.3.h	76	35	n	76	6.71	0.231	21	n	NA	11	12.3	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.50959926237837	1.25276296849537	4.58257569495584	5.91607978309962	1.90359895098359	-1.46533756846034
RO002.15.g	38	39	RO002	15	g	nat	cut	RO002.15.g	76	11	n	76	5.19	0.104	8	n	NA	7	16.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.77881927199042	1.38629436111989	2.82842712474619	3.3166247903554	1.6467336971778	-2.26336437984076
TR005.20.g	38	41	TR005	20	g	nat	cut	TR005.20.g	76	27	n	76	5.43	0.844	14	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	3.74165738677394	5.19615242270663	1.69193913394584	-0.16960278438618
UA004.7.e	38	42	UA004	7	e	nat	cut	UA004.7.e	76	19	y	76	8.6	1.282	21	n	NA	12	13.6	4.5	NA	NA	53	NA	NA	NA	53	1	3.9	69	1	13.5	NA			3.46410161513775	2.61006979274201	1.50407739677627	4.58257569495584	4.35889894354067	2.15176220325946	0.248421358498478
TR003.2.a	38	43	TR003	2	a	nat	cut	TR003.2.a	76	4	n	76	4.11	0.184	10	n	NA	7	10.5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			2.64575131106459	2.35137525716348	1.09861228866811	3.16227766016838	2	1.41342302850814	-1.69281952137315
US015.15.f	38	44	US015	15	f	inv	cut	US015.15.f	76	17	n	76	6.46	0.779	15	n	NA	9	15.5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.7408400239252	1.6094379124341	3.87298334620742	4.12310562561766	1.86562931779451	-0.249744233111389
RU002.2.e	38	45	RU002	2	e	nat	cut	RU002.2.e	76	24	n	76	8.02	0.618	18	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	4.24264068711928	4.89897948556636	2.08193842187842	-0.481266821524446
US002.17.h	38	49	US002	17	h	inv	cut	US002.17.h	76	17	n	76	7.37	0.507	12	n	NA	11	19.5	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.9704144655697	1.25276296849537	3.46410161513775	4.12310562561766	1.99741770620125	-0.679244275390954
UA002.15.h	38	50	UA002	15	h	nat	cut	UA002.15.h	76	26	n	76	6.55	1.339	12	n	NA	10	23	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	3.13549421592915	1.70474809223843	3.46410161513775	5.09901951359278	1.87946504964716	0.291923066709035
RO002.12.e	4	1	RO002	12	e	nat	cut	RO002.12.e	76	24	n	76	7.2	1.304	15	n	NA	9	12.2	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.50143595173921	1.22377543162212	3.87298334620742	4.89897948556636	1.97408102602201	0.265436463504461
RU008.17.g	4	2	RU008	17	g	nat	cut	RU008.17.g	76	84	n	76	9.11	1.393	42	y	NA	14	11	2.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.74165738677394	2.39789527279837	0.78845736036427	6.48074069840786	9.16515138991168	2.20937271127187	0.331459694797669
RO003.9.e	4	5	RO003	9	e	nat	cut	RO003.9.e	76	0	y	76	7.58	0.713	14	n	NA	10	11.6	2.8	NA	NA	69	NA	NA	NA	NA	NA	NA	69	1	23	NA			3.16227766016838	2.45100509811232	1.02961941718116	3.74165738677394	0	2.02551319965428	-0.338273858567841
UA008.13.i	4	8	UA008	13	i	nat	cut	UA008.13.i	76	24	n	76	7.81	2.024	16	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	4	4.89897948556636	2.05540496385159	0.705075751425219
US014.22.g	4	15	US014	22	g	inv	cut	US014.22.g	76	29	n	76	6.76	2.121	16	n	NA	9	12.7	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.54160199346455	1.1314021114911	4	5.3851648071345	1.91102289005487	0.751887675582545
BG001.22.i	4	19	BG001	22	i	nat	cut	BG001.22.i	76	22	y	76	7.2	1.028	18	n	NA	13	10.3	2.4	NA	NA	53	NA	NA	NA	53	1	4	69	1	32.5	NA			3.60555127546399	2.33214389523559	0.8754687373539	4.24264068711928	4.69041575982343	1.97408102602201	0.0276151670329734
