Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	BoltedatH	HarvestDay	CrownDiam.mm	RootMass.g	LfCount2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Yellow	Death	BoltDate	BoltMsrDate	BCount1	MaxBoltHt1	BoltMsrDate2	BCount2	MaxBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	FlrDate	FlrColor	FlrNotes	LfCount1.sq	LfLgth1.log	LfWdth1.log	LfCount2.sq	LfCountH.sq	CrownH.log	RootH.log
UA003.8.a	10	39	UA003	8	a	nat	cut	UA003.8.a	76	25	n	76	8.12	2.811	17	n	NA	10	15.1	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.71469474382088	1.16315080980568	4.12310562561766	5	2.09433015417359	1.03354029192439
RU001.10.i	10	40	RU001	10	i	nat	cut	RU001.10.i	76	59	n	76	7.04	2.926	21	n	NA	10	13	2.2	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.56494935746154	0.78845736036427	4.58257569495584	7.68114574786861	1.95160817016995	1.07363630259793
CA001.2.j	10	41	CA001	2	j	inv	cut	CA001.2.j	76	18	n	76	5.51	2.015	19	y	NA	12	11.3	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.42480272571829	1.22377543162212	4.35889894354067	4.24264068711928	1.70656462316482	0.700619195398646
RO005.17.c	10	42	RO005	17	c	nat	cut	RO005.17.c	76	36	n	76	6.88	1.231	21	n	NA	10	10.8	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.16227766016838	2.37954613413017	0.78845736036427	4.58257569495584	6	1.92861865194525	0.207826847202317
RO001.13.d	10	43	RO001	13	d	nat	cut	RO001.13.d	76	23	n	76	8.37	1.047	22	n	NA	11	12.6	4	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.3166247903554	2.53369681395743	1.38629436111989	4.69041575982343	4.79583152331272	2.12465388450138	0.0459289318883997
US026.23.b	10	44	US026	23	b	inv	cut	US026.23.b	76	20	n	76	6.46	1.361	14	n	NA	9	15.4	4.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.73436750941958	1.48160454092422	3.74165738677394	4.47213595499958	1.86562931779451	0.308219723669329
HU001.24.f	10	45	HU001	24	f	nat	cut	HU001.24.f	76	26	n	76	7.12	1.393	18	n	NA	12	17	5.6	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3.46410161513775	2.83321334405622	1.7227665977411	4.24264068711928	5.09901951359278	1.96290772542388	0.331459694797669
RU002.6.b	10	47	RU002	6	b	nat	cut	RU002.6.b	76	27	n	76	5.82	2.119	22	y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	4.69041575982343	5.19615242270663	1.76130026174335	0.750944279286162
UA008.18.e	10	48	UA008	18	e	nat	cut	UA008.18.e	76	20	n	76	6.02	0.768	15	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	3.87298334620742	4.47213595499958	1.79508725932073	-0.263965545834465
US014.22.h	10	49	US014	22	h	inv	cut	US014.22.h	76	19	n	76	5.48	1.009	15	n	NA	9	13.1	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			3	2.57261223020711	0.641853886172395	3.87298334620742	4.35889894354067	1.70110510095992	0.0089597413714718
UA002.18.e	10	50	UA002	18	e	nat	cut	UA002.18.e	76	26	n	76	7.85	1.572	17	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	4.12310562561766	5.09901951359278	2.06051353179432	0.452348694007015
