Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	sqrt(cont$LfCount1)	log(cont$LfLgth1)	log(cont$LfWdth1)	sqrt(cont$LfCount2)	log(cont$LfLgth2)	log(cont$LfWdth2)	sqrt(cont$LfCountH)	log(cont$LfLgthH)	log(cont$LfWdthH)	log(cont$CrownDiam.mm)	log(cont$ShootMass.g)	log(cont$RootMass.g)
UA008.18.a	18	35	UA008	18	a	nat	cont	UA008.18.a	85	13	28.5	4.8	n	85	6.71	2.952	2.276	15	28.9	7.9	y	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			NA	NA	NA	3.87298334620742	3.36384159511839	2.06686275947298	3.60555127546399	3.3499040872746	1.56861591791385	1.90359895098359	1.08248290673823	0.822419516264084
UA003.7A.i	18	36	UA003	7A	i	nat	cont	UA003.7A.i	85	4	25.5	5	y	85	6.35	5.286	1.601	19	32.1	5.5	n	NA	14	19.6	4.8		69	NA	NA	NA	NA	NA	NA	69	1	76		NA		spotted 	3.74165738677394	2.97552956623647	1.56861591791385	4.35889894354067	3.46885603013597	1.70474809223843	2	3.23867845216438	1.6094379124341	1.8484548129046	1.6650618161821	0.470628434014578
GR003.10.e	18	37	GR003	10	e	nat	cont	GR003.10.e	85	0	NA	NA	y	85	9.39	4.814	2.785	18	29.6	5.2	y	NA	11	16.7	4		38	NA	NA	38	1	6.4	NA	69	1	41.5		NA			3.3166247903554	2.81540871942271	1.38629436111989	4.24264068711928	3.38777436133001	1.64865862558738	0	NA	NA	2.23964529322017	1.57152833936088	1.02424787337925
US015.15.d	18	39	US015	15	d	inv	cont	US015.15.d	85	17	25.7	5.6	n	85	8.51	3.349	2.544	15	22.6	5.3	n	NA	8	13.5	2.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.60268968544438	1.06471073699243	3.87298334620742	3.11794990627824	1.66770682055808	4.12310562561766	3.24649099190117	1.7227665977411	2.14124194258528	1.20866179381207	0.933737645477876
CA008.5.i	18	40	CA008	5	i	inv	cont	CA008.5.i	85	13	23.6	5.7	n	85	9.72	2.785	1.935	17	26	8.1	n	NA	12	12.5	1.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.52572864430826	0.262364264467491	4.12310562561766	3.25809653802148	2.09186406167839	3.60555127546399	3.16124671203156	1.7404661748405	2.27418561847235	1.02424787337925	0.660107326481745
US022.41.a	18	41	US022	41	a	inv	cont	US022.41.a	85	6	22.8	3.4	n	85	7.34	1.925	1.857	13	17.7	3.6	y	NA	11	13.3	2.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.58776403522771	0.78845736036427	3.60555127546399	2.87356463957978	1.28093384546206	2.44948974278318	3.1267605359604	1.22377543162212	1.99333884262642	0.654925967739748	0.618962282370569
US013.23.b	18	42	US013	23	b	inv	cont	US013.23.b	85	8	20	4.6	n	85	5.45	2.44	1.422	10	21.9	4.6	y	NA	4	10	1.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2	2.30258509299405	0.405465108108164	3.16227766016838	3.08648663682246	1.52605630349505	2.82842712474619	2.99573227355399	1.52605630349505	1.69561560867515	0.89199803930511	0.352064331381049
TR005.9.f	18	43	TR005	9	f	nat	cont	TR005.9.f	85	6	23	5.1	y	85	4.25	0.7	0.429	8	13.6	1.4	n	NA	3	4.4	0.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			1.73205080756888	1.48160454092422	-0.916290731874155	2.82842712474619	2.61006979274201	0.336472236621213	2.44948974278318	3.13549421592915	1.62924053973028	1.44691898293633	-0.356674943938732	-0.84629836005412
US026.15.d	18	44	US026	15	d	inv	cont	US026.15.d	85	13	21.8	6.3	n	85	7.84	2.262	0.888	12	24.2	5.5	y	NA	5	12.7	1.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.23606797749979	2.54160199346455	0.405465108108164	3.46410161513775	3.18635263316264	1.70474809223843	3.60555127546399	3.08190996979504	1.84054963339749	2.05923883436232	0.816249377693929	-0.118783535989967
US018.11.c	18	45	US018	11	c	inv	cont	US018.11.c	85	12	19	5.1	n	85	8.88	1.531	0.851	21	19	3.3	n	NA	7	7.3	1.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	1.98787434815435	0.470003629245736	4.58257569495584	2.94443897916644	1.19392246847243	3.46410161513775	2.94443897916644	1.62924053973028	2.18380155700408	0.425921116675547	-0.161343150408763
RO003.11.h	18	47	RO003	11	h	nat	cont	RO003.11.h	85	8	21.9	4.3	y	85	5.76	3.158	1.135	14	23.6	5.7	y	NA	8	14.4	2.8		69	NA	NA	NA	NA	NA	NA	69	1	4		NA			2.82842712474619	2.66722820658195	1.02961941718116	3.74165738677394	3.16124671203156	1.7404661748405	2.82842712474619	3.08648663682246	1.45861502269952	1.7509374747078	1.14993891583345	0.126632650933366
US014.16.m	18	48	US014	16	m	inv	cont	US014.16.m	85	10	24	5.3	n	85	6.92	3.458	1.835	12	27.5	6.8	n	NA	6	12.5	2.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.44948974278318	2.52572864430826	0.741937344729377	3.46410161513775	3.31418600467253	1.91692261218206	3.16227766016838	3.17805383034795	1.66770682055808	1.93441576962958	1.2406903872611	0.607044481506534
UA006.10.b	18	49	UA006	10	b	nat	cont	UA006.10.b	85	17	23	6.2	n	85	9.33	3.301	3.022	18	22.1	6.1	y	NA	12	14.8	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.69462718077007	1.1314021114911	4.24264068711928	3.09557760852371	1.80828877117927	4.12310562561766	3.13549421592915	1.82454929205105	2.23323501485925	1.19422545287106	1.10591886385055
RU001.10.f	24	3	RU001	10	f	nat	cont	RU001.10.f	85	12	29.8	6.2	n	85	5.56	3.636	0.842	15	28.3	7.6	n	NA	7	13.4	2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	2.59525470695687	0.693147180559945	3.87298334620742	3.34286180464919	2.02814824729229	3.46410161513775	3.39450839351136	1.82454929205105	1.71559810826249	1.29088417631523	-0.17197526473981
US001.3.c	24	4	US001	3	c	inv	cont	US001.3.c	85	7	25.5	5.4	n	85	3.72	1.382	0.199	15	19.9	3.8	y	NA	9	11	1.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.39789527279837	0.262364264467491	3.87298334620742	2.99071973173045	1.33500106673234	2.64575131106459	3.23867845216438	1.68639895357023	1.31372366828506	0.323531725345478	-1.61445045425764
UA002.13.a	24	6	UA002	13	a	nat	cont	UA002.13.a	85	19	29.1	7.9	n	85	9.84	3.421	1.87	17	32.5	6	y	NA	10	17	5.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.83321334405622	1.7227665977411	4.12310562561766	3.48124008933569	1.79175946922805	4.35889894354067	3.37073817417745	2.06686275947298	2.28645571106416	1.22993290599547	0.625938430866495
US002.1.c	24	7	US002	1	c	inv	cont	US002.1.c	85	11	24	5.4	n	85	5.58	1.217	1.602	14	17.6	4.2	y	NA	13	14.8	4.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.69462718077007	1.50407739677627	3.74165738677394	2.86789890204411	1.43508452528932	3.3166247903554	3.17805383034795	1.68639895357023	1.71918877639322	0.19638881400539	0.471252848646168
CA001.6.i	24	13	CA001	6	i	inv	cont	CA001.6.i	85	15	24	7.3	n	85	9.47	4.55	4.419	14	20.6	6.2	y	NA	13	14	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.63905732961526	1.38629436111989	3.74165738677394	3.02529107579554	1.82454929205105	3.87298334620742	3.17805383034795	1.98787434815435	2.24812890719799	1.51512723296286	1.4859134261486
CA008.6.f	24	14	CA008	6	f	inv	cont	CA008.6.f	85	8	30.2	7	n	85	8.08	2.936	0.746	11	28.5	7.1	y	NA	6	14.1	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.44948974278318	2.64617479738412	1.09861228866811	3.3166247903554	3.3499040872746	1.96009478404727	2.82842712474619	3.40784192438082	1.94591014905531	2.089391872533	1.07704811075227	-0.293029678778376
US017.36.e	24	18	US017	36	e	inv	cont	US017.36.e	85	27	21.2	5.7	y	85	7.25	2.2	0.96	11	11.1	2.5	n	NA	2	4.7	0.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			1.4142135623731	1.54756250871601	-0.356674943938732	3.3166247903554	2.40694510831829	0.916290731874155	5.19615242270663	3.05400118167797	1.7404661748405	1.98100146886658	0.78845736036427	-0.0408219945202552
RO002.22.d	24	19	RO002	22	d	nat	cont	RO002.22.d	85	26	25.5	6.3	n	85	7.04	2.611	2.143	14	24.1	3.5	n	NA	6	9.2	1.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.44948974278318	2.21920348405499	0.53062825106217	3.74165738677394	3.18221184049661	1.25276296849537	5.09901951359278	3.23867845216438	1.84054963339749	1.95160817016995	0.959733289716992	0.76220671649144
UA005.18.h	24	20	UA005	18	h	nat	cont	UA005.18.h	85	13	27.9	5.7	n	85	8.69	4.003	4.138	20	19.5	4.3	n	NA	13	14.6	4.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.68102152871429	1.50407739677627	4.47213595499958	2.9704144655697	1.45861502269952	3.60555127546399	3.32862668882732	1.7404661748405	2.1621729392773	1.38704408001044	1.42021257932335
RU008.18.h	24	21	RU008	18	h	nat	cont	RU008.18.h	85	15	24.1	9.2	n	85	7.38	4.146	2.941	17	20.2	7.3	n	NA	11	14.5	5.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.67414864942653	1.68639895357023	4.12310562561766	3.00568260440716	1.98787434815435	3.87298334620742	3.18221184049661	2.21920348405499	1.99877363861238	1.42214401401359	1.07874965957186
TR004.18.d	24	24	TR004	18	d	nat	cont	TR004.18.d	85	16	33.7	6.3	y	85	8.46	1.98	0.749	13	25.4	5	n	NA	10	14.2	4.2		69	NA	NA	NA	NA	NA	NA	69	1	7		NA			3.16227766016838	2.65324196460721	1.43508452528932	3.60555127546399	3.23474917402449	1.6094379124341	4	3.51749783735832	1.84054963339749	2.13534917361813	0.683096844706444	-0.289016295464918
US021.8.c	24	25	US021	8	c	inv	cont	US021.8.c	85	23	24.4	6.4	n	85	8.78	5.376	3.451	17	25.8	6.5	y	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.12310562561766	3.25037449192757	1.87180217690159	4.79583152331272	3.19458313229916	1.85629799036563	2.17247640764703	1.68194460322085	1.23866404411587
UA003.11A.b	24	26	UA003	11A	b	nat	cont	UA003.11A.b	85	15	34.2	6.5	n	85	7.63	2.596	1.254	13	31.6	4.8	y	NA	11	14.4	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.66722820658195	1.25276296849537	3.60555127546399	3.45315712059287	1.56861591791385	3.87298334620742	3.53222564406856	1.87180217690159	2.03208784529637	0.953971798841844	0.226338442210729
UA001.11.h	24	28	UA001	11	h	nat	cont	UA001.11.h	85	18	26.8	6.2	n	85	9.19	3.348	3.145	17	21.1	5	y	NA	10	11.6	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.45100509811232	1.25276296849537	4.12310562561766	3.04927304048202	1.6094379124341	4.24264068711928	3.28840188751681	1.82454929205105	2.2181159363676	1.20836315262723	1.1458138901524
GR002.25.d	24	29	GR002	25	d	nat	cont	GR002.25.d	85	17	28.3	5.5	n	85	9.82	3.527	3.037	12	27.5	4.2	n	NA	10	15.7	3.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.75366071235426	1.3609765531356	3.46410161513775	3.31418600467253	1.43508452528932	4.12310562561766	3.34286180464919	1.70474809223843	2.28442112236637	1.26044765125391	1.11087018606361
US014.16.j	24	31	US014	16	j	inv	cont	US014.16.j	85	12	26.1	6.2	n	85	8.72	3.675	4.231	16	19.7	5.4	y	NA	11	14.5	5.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.67414864942653	1.64865862558738	4	2.98061863574394	1.68639895357023	3.46410161513775	3.26193531432865	1.82454929205105	2.16561923792089	1.3015531326648	1.44243837173793
GR003.10.g	24	34	GR003	10	g	nat	cont	GR003.10.g	85	1	17.5	1.5	y	85	12.41	4.401	0.782	14	20.3	4.6	n	28.5	9	17.9	4		18	18	1	38	1	35.1	NA	69	4	32	13,13,4	50	white		3	2.88480071284671	1.38629436111989	3.74165738677394	3.01062088604774	1.52605630349505	1	2.86220088092947	0.405465108108164	2.51850259921652	1.48183178782895	-0.245900538436826
US020.24.c	24	35	US020	24	c	inv	cont	US020.24.c	85	24	27.1	6.2	n	85	7.12	4.042	2.887	18	25.6	4	y	NA	11	15.7	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.75366071235426	1.25276296849537	4.24264068711928	3.24259235148552	1.38629436111989	4.89897948556636	3.29953372788566	1.82454929205105	1.96290772542388	1.39673961898143	1.0602179006808
US015.17.k	24	36	US015	17	k	inv	cont	US015.17.k	85	12	29.6	6.6	n	85	8.24	3.543	3.113	14	23.4	4.4	y	NA	7	12	3.1		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	2.484906649788	1.1314021114911	3.74165738677394	3.15273602236366	1.48160454092422	3.46410161513775	3.38777436133001	1.88706964903238	2.10900034392138	1.26497382588333	1.13558689145947
TR001.12.d	24	37	TR001	12	d	nat	cont	TR001.12.d	85	11	37.4	5.1	n	85	7.36	2.15	1.139	14	32.5	4.5	n	NA	9	18.5	3.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.91777073208428	1.19392246847243	3.74165738677394	3.48124008933569	1.50407739677627	3.3166247903554	3.62167070442049	1.62924053973028	1.99605993274078	0.765467842139571	0.130150684465045
US003.6.h	24	38	US003	6	h	inv	cont	US003.6.h	85	18	33.2	6.9	n	85	7.22	2.485	2.914	12	24.2	7.8	n	NA	6	11.8	2.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.44948974278318	2.46809953147162	0.8754687373539	3.46410161513775	3.18635263316264	2.05412373369555	4.24264068711928	3.50254987592244	1.93152141160321	1.97685495290473	0.910272659548592	1.06952670777301
RO005.17.i	24	40	RO005	17	i	nat	cont	RO005.17.i	85	29	21.6	4.6	n	85	7.44	3.202	3.047	14	25.5	5.1	y	NA	9	9.6	3.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.26176309847379	1.19392246847243	3.74165738677394	3.23867845216438	1.62924053973028	5.3851648071345	3.07269331469012	1.52605630349505	2.006870848845	1.16377561457452	1.11415750000357
RO003.21.d	24	41	RO003	21	d	nat	cont	RO003.21.d	85	14	23.5	5.9	n	85	7.84	2.423	1.991	12	18.8	4.8	y	NA	10	13.2	2.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.58021682959233	0.993251773010283	3.46410161513775	2.9338568698359	1.56861591791385	3.74165738677394	3.15700042115011	1.77495235091167	2.05923883436232	0.885006441834389	0.688637025082059
US023.12.a	24	42	US023	12	a	inv	cont	US023.12.a	85	14	19.5	5.5	n	85	6.6	2.018	3.27	10	16.2	3.2	n	NA	3	7.4	1.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			1.73205080756888	2.00148000021012	0.182321556793955	3.16227766016838	2.78501124223834	1.16315080980568	3.74165738677394	2.9704144655697	1.70474809223843	1.88706964903238	0.702106921931417	1.18478998490916
BG001.16.j	24	43	BG001	16	j	nat	cont	BG001.16.j	85	11	27.1	4.2	n	85	7.09	1.918	1.705	17	18	3.2	n	NA	11	14.1	3.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.64617479738412	1.3609765531356	4.12310562561766	2.89037175789616	1.16315080980568	3.3166247903554	3.29953372788566	1.43508452528932	1.95868534054404	0.651282976461246	0.53356511073548
HU001.24.j	24	45	HU001	24	j	nat	cont	HU001.24.j	85	8	19	4.7	y	85	7.94	2.8	1.263	15	18.2	5	y	NA	11	13.3	4.1		69	NA	NA	NA	NA	NA	NA	69	1	12		NA			3.3166247903554	2.58776403522771	1.41098697371026	3.87298334620742	2.90142159408275	1.6094379124341	2.82842712474619	2.94443897916644	1.54756250871601	2.07191327525904	1.02961941718116	0.233489843368354
RO004.13.m	24	46	RO004	13	m	nat	cont	RO004.13.m	85	7	30.6	7.2	n	85	8.66	1.988	1.43	17	21.3	3.7	y	NA	13	14.6	3.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.68102152871429	1.3609765531356	4.12310562561766	3.05870707271538	1.30833281965018	2.64575131106459	3.42100000895834	1.97408102602201	2.15871472257434	0.687129108234382	0.357674444271816
US022.23.d	24	48	US022	23	d	inv	cont	US022.23.d	85	13	34.7	4.4	n	85	9.75	2.708	3.369	15	26.8	4.9	y	NA	9	14	4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3	2.63905732961526	1.38629436111989	3.87298334620742	3.28840188751681	1.58923520511658	3.60555127546399	3.54673968695281	1.48160454092422	2.27726728500976	0.996210355050029	1.21461596442442
US026.3.b	24	49	US026	3	b	inv	cont	US026.3.b	85	12	32	4.7	n	85	8.11	2.725	1.733	15	22.1	3.2	n	NA	12	13.8	4.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.62466859216316	1.45861502269952	3.87298334620742	3.09557760852371	1.16315080980568	3.46410161513775	3.46573590279973	1.54756250871601	2.09309786812732	1.00246842811521	0.549854010733469
UA004.15.d	24	50	UA004	15	d	nat	cont	UA004.15.d	85	15	28.6	5.1	y	85	8.68	2.115	1.707	17	26.2	4.7	n	NA	12	13	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.56494935746154	1.43508452528932	4.12310562561766	3.26575941076705	1.54756250871601	3.87298334620742	3.35340671782581	1.62924053973028	2.16102152867226	0.749054812498241	0.534737443812304
RO004.13.c	25	2	RO004	13	c	nat	cont	RO004.13.c	85	12	26.6	5.1	n	85	8.31	2.915	1.67	13	18.1	4.5	y	NA	14	13.8	3.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.74165738677394	2.62466859216316	1.16315080980568	3.60555127546399	2.89591193827178	1.50407739677627	3.46410161513775	3.28091121578765	1.62924053973028	2.11745960886736	1.06986981980246	0.512823626428664
GR001.24.d	25	3	GR001	24	d	nat	cont	GR001.24.d	85	17	28.6	6.5	n	85	9.52	2.774	1.397	12	18.6	4.6	n	NA	11	15.9	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.76631910922619	1.43508452528932	3.46410161513775	2.92316158071916	1.52605630349505	4.12310562561766	3.35340671782581	1.87180217690159	2.25339484880327	1.02029032189264	0.334327080274825
US021.8.j	25	4	US021	8	j	inv	cont	US021.8.j	85	27	27.2	5.3	n	85	8.42	3.693	1.944	16	17	3.7	n	NA	11	12.2	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.50143595173921	1.43508452528932	4	2.83321334405622	1.30833281965018	5.19615242270663	3.30321697330195	1.66770682055808	2.13060982825424	1.30643913587043	0.664747706038247
TR005.20.d	25	7	TR005	20	d	nat	cont	TR005.20.d	85	24	26.6	3.5	n	85	6.23	1.163	0.394	9	24.3	6.6	y	NA	7	11.8	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.64575131106459	2.46809953147162	1.25276296849537	3	3.1904763503465	1.88706964903238	4.89897948556636	3.28091121578765	1.25276296849537	1.82937633279936	0.151002873536527	-0.931404369684203
UA005.3.e	25	8	UA005	3	e	nat	cont	UA005.3.e	85	17	26.4	6.2	n	85	11.04	3.2	1.622	9	26.1	5.2	y	NA	8	14.3	1.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.66025953726586	0.587786664902119	3	3.26193531432865	1.64865862558738	4.12310562561766	3.27336401015227	1.82454929205105	2.40152504084895	1.16315080980568	0.483659955693221
RO002.15.h	25	9	RO002	15	h	nat	cont	RO002.15.h	85	1	17.5	2.7	y	85	4.32	1.213	0.243	10	18.5	3.1	n	NA	9	10.6	4.5		69	NA	NA	NA	NA	NA	NA	69	1	29		NA			3	2.36085400111802	1.50407739677627	3.16227766016838	2.91777073208428	1.1314021114911	1	2.86220088092947	0.993251773010283	1.46325540225602	0.193096629961913	-1.41469383564159
US014.17.f	25	11	US014	17	f	inv	cont	US014.17.f	85	24	22	4.4	n	85	10.23	4.552	3.778	12	7.3	5.4	n	NA	6	10.9	1.9		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.44948974278318	2.3887627892351	0.641853886172395	3.46410161513775	1.98787434815435	1.68639895357023	4.89897948556636	3.09104245335832	1.48160454092422	2.32532457996354	1.51556669682403	1.32919476907932
CA008.5.c	25	12	CA008	5	c	inv	cont	CA008.5.c	85	13	25.2	6.3	n	85	8.25	2.821	2.102	13	28.5	4.3	n	NA	13	11.5	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.4423470353692	1.09861228866811	3.60555127546399	3.3499040872746	1.45861502269952	3.60555127546399	3.22684399451738	1.84054963339749	2.11021320034659	1.03709143201986	0.742889272454759
US001.20.i	25	18	US001	20	i	inv	cont	US001.20.i	85	14	29.3	5.2	n	85	7.85	2.974	2.29	13	27.6	5.6	y	NA	13	13.8	3.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.62466859216316	1.22377543162212	3.60555127546399	3.3178157727231	1.7227665977411	3.74165738677394	3.37758751602302	1.64865862558738	2.06051353179432	1.08990784803796	0.828551817566148
US002.24.g	25	22	US002	24	g	inv	cont	US002.24.g	85	19	32.5	6.5	n	85	8.29	4.124	1.741	15	26.1	7.1	n	NA	10	15.5	3.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.7408400239252	1.28093384546206	3.87298334620742	3.26193531432865	1.96009478404727	4.35889894354067	3.48124008933569	1.87180217690159	2.1150499691472	1.41682356615471	0.554459660786052
RU008.16.a	25	23	RU008	16	a	nat	cont	RU008.16.a	85	20	21.5	7.2	n	85	9.58	4.128	3.478	17	20	4.8	n	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			NA	NA	NA	4.12310562561766	2.99573227355399	1.56861591791385	4.47213595499958	3.06805293513362	1.97408102602201	2.25967759198277	1.41779302817926	1.24645741593209
CA001.7.d	25	26	CA001	7	d	inv	cont	CA001.7.d	85	18	29	6.2	n	85	8.49	4.249	5.928	16	17.3	4.1	n	NA	12	14.2	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.65324196460721	1.43508452528932	4	2.85070650150373	1.41098697371026	4.24264068711928	3.36729582998647	1.82454929205105	2.13888900032326	1.44668366113267	1.77968688799379
US012.28.c	25	27	US012	28	c	inv	cont	US012.28.c	85	16	30.6	7.1	n	85	8.13	2.851	2.959	11	21.7	6.5	n	NA	5	14.7	2.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.23606797749979	2.68784749378469	0.8754687373539	3.3166247903554	3.07731226054641	1.87180217690159	4	3.42100000895834	1.96009478404727	2.09556092355972	1.04766980993053	1.08485137341807
HU001.5.d	25	28	HU001	5	d	nat	cont	HU001.5.d	85	23	27.5	6.8	n	85	9.26	3.8	1.565	14	34.2	5.6	n	NA	8	17.4	3.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.85647020622048	1.16315080980568	3.74165738677394	3.53222564406856	1.7227665977411	4.79583152331272	3.31418600467253	1.91692261218206	2.22570404865809	1.33500106673234	0.447885823992117
US003.28.a	25	29	US003	28	a	inv	cont	US003.28.a	85	15	38.6	5	n	85	7.74	2.869	1.144	15	23.9	5.7	y	NA	12	16.5	4.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.80336038090653	1.48160454092422	3.87298334620742	3.17387845893747	1.7404661748405	3.87298334620742	3.65325227647079	1.6094379124341	2.04640168760164	1.05396353699923	0.134530892957606
RO005.23.c	25	30	RO005	23	c	nat	cont	RO005.23.c	85	18	29	5.1	n	85	10.94	3.558	1.749	14	22	3.1	n	NA	12	15.7	3.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.75366071235426	1.16315080980568	3.74165738677394	3.09104245335832	1.1314021114911	4.24264068711928	3.36729582998647	1.62924053973028	2.39242579699384	1.26919858924364	0.559044196036465
US020.42.f	25	31	US020	42	f	inv	cont	US020.42.f	85	11	31.5	6.2	n	85	9.01	2.663	1.456	14	22.5	6.1	n	NA	13	13.2	2.6		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.58021682959233	0.955511445027436	3.74165738677394	3.11351530921037	1.80828877117927	3.3166247903554	3.44998754583159	1.82454929205105	2.19833507162025	0.979453306831795	0.375692949774494
RU003.1.a	25	32	RU003	1	a	nat	cont	RU003.1.a	85	10	29.8	7.7	n	85	7.16	2.63	2.209	13	20.7	5.3	y	NA	11	16.5	3.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.80336038090653	1.33500106673234	3.60555127546399	3.03013370027132	1.66770682055808	3.16227766016838	3.39450839351136	2.04122032885964	1.96850998097255	0.966983846189673	0.79253992443798
UA003.6.d	25	33	UA003	6	d	nat	cont	UA003.6.d	85	16	29.5	7.5	n	85	7.8	3.503	1.431	13	27.2	4.5	y	NA	11	13.5	3.7		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.60268968544438	1.30833281965018	3.60555127546399	3.30321697330195	1.50407739677627	4	3.38439026334577	2.01490302054226	2.05412373369555	1.25361974421535	0.358373500574314
UA001.11.c	25	36	UA001	11	c	nat	cont	UA001.11.c	85	16	30.6	8.8	n	85	9.06	2.986	1.358	11	21.5	4.3	y	NA	10	14.8	3.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.69462718077007	1.25276296849537	3.3166247903554	3.06805293513362	1.45861502269952	4	3.42100000895834	2.17475172148416	2.20386912005489	1.093934699117	0.306013029136504
TR001.24.c	25	37	TR001	24	c	nat	cont	TR001.24.c	85	16	27.5	5.4	n	85	8.06	3.546	2.291	12	21.6	4.8	n	NA	8	16	3.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.82842712474619	2.77258872223978	1.33500106673234	3.46410161513775	3.07269331469012	1.56861591791385	4	3.31418600467253	1.68639895357023	2.08691355651854	1.26582020765202	0.828988403471358
