Rack	Pos	PopID	Mom	Indiv	Origin	Trt	ID	MsrDayH	LfCountH	LfLgthH	LfWdthH	BoltedatH	HarvestDay	CrownDiam.mm	ShootMass.g	RootMass.g	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2	LfCount1	LfLgth1	LfWdth1	Note	BoltDate	BoltMsrDate	BCount1	BoltMsrDate2	BCount2	MaxBoltHt2	OtherBoltHt2	BoltMsrDate3	BCount3	MaxBoltHt3	OtherBoltHt3	FlrDate	FlrColor	FlrNotes	sqrt(cont$LfCount1)	log(cont$LfLgth1)	log(cont$LfWdth1)	sqrt(cont$LfCount2)	log(cont$LfLgth2)	log(cont$LfWdth2)	sqrt(cont$LfCountH)	log(cont$LfLgthH)	log(cont$LfWdthH)	log(cont$CrownDiam.mm)	log(cont$ShootMass.g)	log(cont$RootMass.g)
TR004.27.b	12	26	TR004	27	b	nat	cont	TR004.27.b	86	11	22.1	4.2	n	85	4.43	1.344	1.833	15	17	4.6	y	NA	12	11.8	3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.46809953147162	1.09861228866811	3.87298334620742	2.83321334405622	1.52605630349505	3.3166247903554	3.09557760852371	1.43508452528932	1.48839958405704	0.295650242100958	0.605953968857568
US001.20.j	12	27	US001	20	j	inv	cont	US001.20.j	86	10	24.6	3.7	n	85	6.04	1.174	2.544	14	22.4	4.4	y	NA	12	18.8	3.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.46410161513775	2.9338568698359	1.22377543162212	3.74165738677394	3.10906095886099	1.48160454092422	3.16227766016838	3.20274644293832	1.30833281965018	1.79840401194672	0.160416721405905	0.933737645477876
GR001.28.b	12	29	GR001	28	b	nat	cont	GR001.28.b	86	10	18.2	3.6	n	85	3.15	0.566	0.862	8	18.3	2.6	y	NA	5	14.4	1.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			2.23606797749979	2.66722820658195	0.405465108108164	2.82842712474619	2.90690105984738	0.955511445027436	3.16227766016838	2.90142159408275	1.28093384546206	1.14740245283754	-0.569161200778954	-0.148500008318444
UA004.27.h	12	30	UA004	27	h	nat	cont	UA004.27.h	86	13	19.7	4.4	n	85	6.16	1.496	2.155	16	15.5	3.7	y	NA	14	13	3.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.74165738677394	2.56494935746154	1.19392246847243	4	2.7408400239252	1.30833281965018	3.60555127546399	2.98061863574394	1.48160454092422	1.81807677754543	0.402794879552285	0.767790723555711
CA001.7.i	12	32	CA001	7	i	inv	cont	CA001.7.i	86	19	23.8	6.4	n	85	10.31	4.127	2.063	14	21	4.9	y	NA	13	14.7	3.4		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.68784749378469	1.22377543162212	3.74165738677394	3.04452243772342	1.58923520511658	4.35889894354067	3.16968558067743	1.85629799036563	2.33311429802887	1.41755075077044	0.724161234089115
US002.5.c	12	33	US002	5	c	inv	cont	US002.5.c	86	17	33	5.7	n	85	8.18	2.684	1.333	15	25.2	4.4	n	NA	11	11.6	2.3		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.45100509811232	0.832909122935104	3.87298334620742	3.22684399451738	1.48160454092422	4.12310562561766	3.49650756146648	1.7404661748405	2.10169215061466	0.987308219109435	0.287432041196572
US023.34.k	12	34	US023	34	k	inv	cont	US023.34.k	86	22	28.1	5.4	n	85	7.92	3.693	2.666	16	23.3	7.1	y	NA	10	13.8	4.8		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.16227766016838	2.62466859216316	1.56861591791385	4	3.14845336057165	1.96009478404727	4.69041575982343	3.3357695763397	1.68639895357023	2.06939120582633	1.30643913587043	0.980579221756517
RU001.9.d	12	35	RU001	9	d	nat	cont	RU001.9.d	86	13	27.8	6.2	n	85	8.06	2.459	1.147	16	20.4	6.6	y	NA	11	15	4.5		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.3166247903554	2.70805020110221	1.50407739677627	4	3.01553490085017	1.88706964903238	3.60555127546399	3.32503602069659	1.82454929205105	2.08691355651854	0.899754763234056	0.137149838147234
RU008.18.d	12	36	RU008	18	d	nat	cont	RU008.18.d	86	13	32.6	8.2	n	85	9.75	3.056	2.273	11	22.4	6.8	n	NA	13	16.8	4.2		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		NA			3.60555127546399	2.82137888640921	1.43508452528932	3.3166247903554	3.10906095886099	1.91692261218206	3.60555127546399	3.48431228837266	2.10413415427021	2.27726728500976	1.11710687130427	0.821100544870406
TR003.14.b	12	37	TR003	14	b	nat	cont	TR003.14.b	86	10	19.1	3.1	y	85	8.79	0.997	0.311	19	18.1	2.7	y	NA	9	10.5	2		69	NA	NA	NA	NA	NA	NA	69	1	24		NA		spotted	3	2.35137525716348	0.693147180559945	4.35889894354067	2.89591193827178	0.993251773010283	3.16227766016838	2.94968833505258	1.1314021114911	2.17361471169709	-0.00300450902029872	-1.1679623668029
