Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
UA005.18.c	5	31	UA005	18	c	nat	control	13	22.3	6.4	y	NA
US020.42.a	5	32	US020	42	a	inv	control	12	22	5.5	y	NA
UA003.8.h	5	33	UA003	8	h	nat	control	16	27.2	7.1	y	NA
US022.31.b	5	34	US022	31	b	inv	control	14	19.6	4	y	NA
CA008.5.j	5	35	CA008	5	j	inv	control	33	21.1	6.1	y	NA
RU001.10.g	5	38	RU001	10	g	nat	control	13	26.1	4.7	y	NA
RO004.12.j	5	39	RO004	12	j	nat	control	15	19.9	3.7	n	6.7
BG001.16.f	5	40	BG001	16	f	nat	control	18	24.4	3.9	y	NA
US002.17.i	5	41	US002	17	i	inv	control	17	16.2	2.3	y	NA
UA004.27.j	5	42	UA004	27	j	nat	control	20	20.5	3.4	y	NA
RO002.12.c	5	43	RO002	12	c	nat	control	12	20.2	3.5	n	NA
UA001.11.g	5	44	UA001	11	g	nat	control	11	23.8	6.1	y	NA
US001.20.b	5	45	US001	20	b	inv	control	12	22.6	5.9	n	NA
HU001.28.a	5	47	HU001	28	a	nat	control	18	20.8	4.6	y	NA
RU005.11.b	5	48	RU005	11	b	nat	control	19	15.6	2.9	y	NA
US003.6.f	5	49	US003	6	f	inv	control	11	23.1	6.3	n	NA
US015.13.h	5	50	US015	13	h	inv	control	14	17	4.3	n	NA
RU008.18.i	6	1	RU008	18	i	nat	control	7	14.6	4.2	y	NA
US003.19.g	6	2	US003	19	g	inv	control	12	17	3.1	n	NA
RO002.13.d	6	6	RO002	13	d	nat	control	9	14.9	4.7	y	NA
UA003.9A.b	6	8	UA003	9A	b	nat	control	12	22.1	5.2	y	NA
US015.3.d	6	10	US015	3	d	inv	control	18	18.2	5	y	NA
CA001.6.c	6	12	CA001	6	c	inv	control	17	17.2	5.3	y	NA
GR002.8.h	6	15	GR002	8	h	nat	control	12	13.1	3.4	y	20.4
RO004.21.i	6	16	RO004	21	i	nat	control	13	21.4	4.1	y	NA
RU001.2.i	6	18	RU001	2	i	nat	control	20	19.1	4.6	y	NA
TR004.14.d	6	20	TR004	14	d	nat	control	20	17.4	5.6	y	NA
RO005.23.g	6	21	RO005	23	g	nat	control	14	20.5	5.6	y	NA
TR003.24.g	6	25	TR003	24	g	nat	control	7	14.9	2.1	y	NA
HU001.28.h	6	26	HU001	28	h	nat	control	14	17.5	4.1	y	NA
RO003.9.g	6	27	RO003	9	g	nat	control	17	17.9	3.8	y	NA
GR003.9.a	6	32	GR003	9	a	nat	control	11	18.3	4.4	n 	NA
US002.17.d	6	33	US002	17	d	inv	control	18	23.3	3.5	y	NA
US021.8.g	6	34	US021	8	g	inv	control	15	19.5	5	n	NA
BG001.25.a	6	36	BG001	25	a	nat	control	18	15.2	3.8	y	NA
RU004.7.c	6	38	RU004	7	c	nat	control	16	26.1	4.9	y	NA
US022.42.a	6	39	US022	42	a	inv	control	20	21.1	3.6	y	NA
US014.16.e	6	40	US014	16	e	inv	control	20	25.4	4.9	y	NA
GR001.24.e	6	41	GR001	24	e	nat	control	18	22.8	4.2	y	NA
UA005.7.a	6	44	UA005	7	a	nat	control	16	26	5	y	NA
TR001.19.f	6	45	TR001	19	f	nat	control	13	23.6	4.9	y	NA
UA004.27.e	6	46	UA004	27	e	nat	control	16	24.5	7	y	NA
RO001.21.f	6	47	RO001	21	f	nat	control	18	17.2	3.4	y	NA
US001.23.c	6	48	US001	23	c	inv	control	14	24.3	6.7	y	NA
CA008.5.g	6	50	CA008	5	g	inv	control	17	22.7	4.8	y	NA
RO001.6.c	7	1	RO001	6	c	nat	control	11	16.7	4.8	n	NA
RU004.6.a	7	4	RU004	6	a	nat	control	14	26.8	6.5	y	NA
UA004.18.h	7	5	UA004	18	h	nat	control	15	26.7	6	y	NA
CA001.2.a	7	6	CA001	2	a	inv	control	10	19.1	4.2	n	NA
US002.22.i	7	7	US002	22	i	inv	control	12	19.5	5.4	n	NA
US020.24.f	7	8	US020	24	f	inv	control	13	22.7	3.8	y	NA
GR003.9.h	7	9	GR003	9	h	nat	control	17	21	5.8	n	NA
GR001.6.e	7	11	GR001	6	e	nat	control	11	25	5.6	n	NA
US026.15.c	7	12	US026	15	c	inv	control	14	18.4	5.4	n	NA
RU001.10.h	7	15	RU001	10	h	nat	control	9	24.6	5.9	n	NA
TR005.9.d	7	16	TR005	9	d	nat	control	9	22.7	4.6	n	NA
US003.20.j	7	17	US003	20	j	inv	control	12	24.6	5.2	n	NA
UA001.18.e	7	18	UA001	18	e	nat	control	14	23.6	5.2	n	NA
US023.41.c	7	19	US023	41	c	inv	control	13	20.4	5.8	n	NA
RO005.23.d	7	21	RO005	23	d	nat	control	14	21.6	3.7	n	NA
US019.6.c	7	24	US019	6	c	inv	control	11	27	7.1	n	NA
UA008.25.b	7	26	UA008	25	b	nat	control	7	22.5	6.2	n	NA
HU001.24.h	7	27	HU001	24	h	nat	control	12	20.6	4.8	n	NA
BG001.22.h	7	29	BG001	22	h	nat	control	17	22.5	4.9	n	NA
UA002.18.d	7	30	UA002	18	d	nat	control	12	24	7.8	y	NA
RO003.21.j	7	33	RO003	21	j	nat	control	17	23.3	5.2	y	NA
GR002.17.d	7	35	GR002	17	d	nat	control	11	16.4	4	y	NA
US015.13.j	7	36	US015	13	j	inv	control	9	15.6	4.5	y	NA
CA008.4.h	7	38	CA008	4	h	inv	control	10	22.9	6.6	y	NA
