Rack	Pos	PopID	Mom	Indiv	Origin	Trt	LfCount2	LfLgth2	LfWdth2	LfYellow2	BoltHt2
US014.16.c	16	46	US014	16	c	inv	cut	17	NA	NA	n	NA
US015.3.a	16	47	US015	3	a	inv	cut	17	NA	NA	n	NA
UA003.6.j	16	48	UA003	6	j	nat	cut	14	NA	NA	n	NA
TR004.18.g	16	49	TR004	18	g	nat	cut	11	NA	NA	n	NA
US023.34.a	16	50	US023	34	a	inv	cut	15	NA	NA	y	NA
UA005.15.c	18	1	UA005	15	c	nat	control	16	19.1	4.5	n	NA
UA001.18.f	18	2	UA001	18	f	nat	control	16	19.3	4.1	n	NA
US003.27.j	18	4	US003	27	j	inv	control	14	28.7	8	y	NA
GR002.8.j	18	7	GR002	8	j	nat	control	18	23.5	4.1	n	NA
UA004.5.e	18	8	UA004	5	e	nat	control	27	30.5	6.4	y	NA
RO004.20.g	18	9	RO004	20	g	nat	control	23	21.5	3.5	n	NA
CA001.2.b	18	10	CA001	2	b	inv	control	19	17.3	3.9	y	NA
RU008.18.f	18	13	RU008	18	f	nat	control	14	19.4	3.7	y	NA
HU001.28.e	18	14	HU001	28	e	nat	control	21	25.4	8.5	y	NA
TR001.12.g	18	16	TR001	12	g	nat	control	20	25	5.4	y	NA
CA007.2.d	18	17	CA007	2	d	inv	control	16	24.5	4.6	y	NA
US001.22.a	18	18	US001	22	a	inv	control	17	25.6	5.9	y	NA
UA002.15.j	18	21	UA002	15	j	nat	control	19	29.1	8.1	n	NA
BG001.17.d	18	23	BG001	17	d	nat	control	22	14.9	3	y	NA
RO002.15.b	18	26	RO002	15	b	nat	control	15	28.2	4.8	y	NA
RU001.7.c	18	30	RU001	7	c	nat	control	18	23.8	5.9	y	NA
RO005.15.h	18	31	RO005	15	h	nat	control	17	20.8	4.2	n	NA
US002.17.a	18	33	US002	17	a	inv	control	15	22.5	4.7	y	NA
RO001.12.e	18	34	RO001	12	e	nat	control	18	20.1	3.4	y	NA
UA008.18.a	18	35	UA008	18	a	nat	control	15	28.9	7.9	y	NA
UA003.7A.i	18	36	UA003	7A	i	nat	control	19	32.1	5.5	n	NA
GR003.10.e	18	37	GR003	10	e	nat	control	18	29.6	5.2	y	NA
US015.15.d	18	39	US015	15	d	inv	control	15	22.6	5.3	n	NA
CA008.5.i	18	40	CA008	5	i	inv	control	17	26	8.1	n	NA
US022.41.a	18	41	US022	41	a	inv	control	13	17.7	3.6	y	NA
US013.23.b	18	42	US013	23	b	inv	control	10	21.9	4.6	y	NA
TR005.9.f	18	43	TR005	9	f	nat	control	8	13.6	1.4	n	NA
US026.15.d	18	44	US026	15	d	inv	control	12	24.2	5.5	y	NA
US018.11.c	18	45	US018	11	c	inv	control	21	19	3.3	n	NA
RO003.11.h	18	47	RO003	11	h	nat	control	14	23.6	5.7	y	NA
US014.16.m	18	48	US014	16	m	inv	control	12	27.5	6.8	n	NA
UA006.10.b	18	49	UA006	10	b	nat	control	18	22.1	6.1	y	NA
TR004.8.e	20	1	TR004	8	e	nat	nut def	13	12.6	1.4	y	NA
US018.5.d	20	3	US018	5	d	inv	nut def	12	17.1	3.6	y	NA
CA007.2.b	20	5	CA007	2	b	inv	nut def	13	15.2	4.3	n	NA
GR001.26.i	20	6	GR001	26	i	nat	nut def	17	14.2	2.8	n	NA
RO004.21.h	20	7	RO004	21	h	nat	nut def	17	14.4	3.3	y	NA
RU002.5.c	20	8	RU002	5	c	nat	nut def	18	14.5	3.9	y	NA
RO001.13.c	20	12	RO001	13	c	nat	nut def	16	15.3	4.9	y	NA
UA005.3.c	20	16	UA005	3	c	nat	nut def	13	22.5	4.5	y	NA
RU008.21.f	20	18	RU008	21	f	nat	nut def	16	22.7	4.1	n	NA
US015.2.d	20	19	US015	2	d	inv	nut def	16	17.2	5.3	y	NA
CA001.7.b	20	20	CA001	7	b	inv	nut def	8	22.6	6	y	NA
RO005.14.d	20	21	RO005	14	d	nat	nut def	13	16.5	4.1	y	NA
UA001.19.a	20	23	UA001	19	a	nat	nut def	16	15.6	4.6	y	NA
RO002.18.e	20	24	RO002	18	e	nat	nut def	11	17.6	4.3	y	NA
GR002.2.c	20	26	GR002	2	c	nat	nut def	19	17.8	3.1	y	NA
US001.3.b	20	27	US001	3	b	inv	nut def	16	20.4	3.8	y	NA
US003.28.i	20	28	US003	28	i	inv	nut def	13	23.2	3.9	y	NA
RO003.4.d	20	30	RO003	4	d	nat	nut def	11	18	3.2	y	NA
RU003.7.a	20	31	RU003	7	a	nat	nut def	35	15.1	4.1	y	NA
US022.17.f	20	32	US022	17	f	inv	nut def	19	15.8	3.6	y	NA
UA007.20.d	20	34	UA007	20	d	nat	nut def	10	18.3	3.7	n	NA
UA004.18.d	20	36	UA004	18	d	nat	nut def	13	20.1	4.3	y	NA
UA003.11A.f	20	37	UA003	11A	f	nat	nut def	11	23.2	3.5	n	NA
BG001.17.c	20	38	BG001	17	c	nat	nut def	17	15.4	4.3	n	NA
RU004.7.e	20	40	RU004	7	e	nat	nut def	15	15.1	3.2	y	NA
GR003.9.i	20	41	GR003	9	i	nat	nut def	10	21.7	4.1	n	NA
US023.41.f	20	42	US023	41	f	inv	nut def	29	14.4	2.8	n	NA
TR001.1.h	20	43	TR001	1	h	nat	nut def	13	20.2	3.1	y	NA
US014.22.f	20	44	US014	22	f	inv	nut def	9	17.4	4	y	NA
RU001.6.b	20	45	RU001	6	b	nat	nut def	14	19.3	2.8	y	NA
US002.1.d	20	47	US002	1	d	inv	nut def	18	16.6	4.2	y	NA
TR003.14.d	20	48	TR003	14	d	nat	nut def	14	28	3.1	y	NA
HU001.13.e	20	49	HU001	13	e	nat	nut def	14	17.4	4.2	y	NA
RU001.10.f	24	3	RU001	10	f	nat	control	15	28.3	7.6	n	NA
US001.3.c	24	4	US001	3	c	inv	control	15	19.9	3.8	y	NA
UA002.13.a	24	6	UA002	13	a	nat	control	17	32.5	6	y	NA
US002.1.c	24	7	US002	1	c	inv	control	14	17.6	4.2	y	NA
CA001.6.i	24	13	CA001	6	i	inv	control	14	20.6	6.2	y	NA
CA008.6.f	24	14	CA008	6	f	inv	control	11	28.5	7.1	y	NA
US017.36.e	24	18	US017	36	e	inv	control	11	11.1	2.5	n	NA
RO002.22.d	24	19	RO002	22	d	nat	control	14	24.1	3.5	n	NA
UA005.18.h	24	20	UA005	18	h	nat	control	20	19.5	4.3	n	NA
RU008.18.h	24	21	RU008	18	h	nat	control	17	20.2	7.3	n	NA
TR004.18.d	24	24	TR004	18	d	nat	control	13	25.4	5	n	NA
US021.8.c	24	25	US021	8	c	inv	control	17	25.8	6.5	y	NA
UA003.11A.b	24	26	UA003	11A	b	nat	control	13	31.6	4.8	y	NA
UA001.11.h	24	28	UA001	11	h	nat	control	17	21.1	5	y	NA
GR002.25.d	24	29	GR002	25	d	nat	control	12	27.5	4.2	n	NA
US014.16.j	24	31	US014	16	j	inv	control	16	19.7	5.4	y	NA
GR003.10.g	24	34	GR003	10	g	nat	control	14	20.3	4.6	n	28.5
US020.24.c	24	35	US020	24	c	inv	control	18	25.6	4	y	NA
US015.17.k	24	36	US015	17	k	inv	control	14	23.4	4.4	y	NA
TR001.12.d	24	37	TR001	12	d	nat	control	14	32.5	4.5	n	NA
US003.6.h	24	38	US003	6	h	inv	control	12	24.2	7.8	n	NA
RO005.17.i	24	40	RO005	17	i	nat	control	14	25.5	5.1	y	NA
RO003.21.d	24	41	RO003	21	d	nat	control	12	18.8	4.8	y	NA
US023.12.a	24	42	US023	12	a	inv	control	10	16.2	3.2	n	NA
BG001.16.j	24	43	BG001	16	j	nat	control	17	18	3.2	n	NA
HU001.24.j	24	45	HU001	24	j	nat	control	15	18.2	5	y	NA
RO004.13.m	24	46	RO004	13	m	nat	control	17	21.3	3.7	y	NA
US022.23.d	24	48	US022	23	d	inv	control	15	26.8	4.9	y	NA
US026.3.b	24	49	US026	3	b	inv	control	15	22.1	3.2	n	NA
UA004.15.d	24	50	UA004	15	d	nat	control	17	26.2	4.7	n	NA
RO004.13.c	25	2	RO004	13	c	nat	control	13	18.1	4.5	y	NA
GR001.24.d	25	3	GR001	24	d	nat	control	12	18.6	4.6	n	NA
US021.8.j	25	4	US021	8	j	inv	control	16	17	3.7	n	NA
TR005.20.d	25	7	TR005	20	d	nat	control	9	24.3	6.6	y	NA
UA005.3.e	25	8	UA005	3	e	nat	control	9	26.1	5.2	y	NA
RO002.15.h	25	9	RO002	15	h	nat	control	10	18.5	3.1	n	NA
US014.17.f	25	11	US014	17	f	inv	control	12	7.3	5.4	n	NA
CA008.5.c	25	12	CA008	5	c	inv	control	13	28.5	4.3	n	NA
US001.20.i	25	18	US001	20	i	inv	control	13	27.6	5.6	y	NA
US002.24.g	25	22	US002	24	g	inv	control	15	26.1	7.1	n	NA
RU008.16.a	25	23	RU008	16	a	nat	control	17	20	4.8	n	NA
CA001.7.d	25	26	CA001	7	d	inv	control	16	17.3	4.1	n	NA
US012.28.c	25	27	US012	28	c	inv	control	11	21.7	6.5	n	NA
HU001.5.d	25	28	HU001	5	d	nat	control	14	34.2	5.6	n	NA
US003.28.a	25	29	US003	28	a	inv	control	15	23.9	5.7	y	NA
RO005.23.c	25	30	RO005	23	c	nat	control	14	22	3.1	n	NA
US020.42.f	25	31	US020	42	f	inv	control	14	22.5	6.1	n	NA
RU003.1.a	25	32	RU003	1	a	nat	control	13	20.7	5.3	y	NA
UA003.6.d	25	33	UA003	6	d	nat	control	13	27.2	4.5	y	NA
UA001.11.c	25	36	UA001	11	c	nat	control	11	21.5	4.3	y	NA
TR001.24.c	25	37	TR001	24	c	nat	control	12	21.6	4.8	n	NA
RU004.9.a	25	38	RU004	9	a	nat	control	12	29.8	6.1	n	NA
RO003.21.g	25	39	RO003	21	g	nat	control	13	24.9	5.7	n	NA
GR003.17.h	25	40	GR003	17	h	nat	control	15	25.9	5.1	y	NA
US015.15.j	25	44	US015	15	j	inv	control	12	21	5.4	n	NA
RO001.28.f	25	45	RO001	28	f	nat	control	16	17.6	3.9	n	NA
US022.31.a	25	46	US022	31	a	inv	control	13	22.5	5.6	y	NA
BG001.29.e	25	47	BG001	29	e	nat	control	17	18.1	3.9	n	NA
UA002.15.f	25	49	UA002	15	f	nat	control	16	25.8	7.1	y	NA
UA004.15.f	25	50	UA004	15	f	nat	control	19	19	4.4	y	NA
TR003.24.i	26	1	TR003	24	i	nat	nut def	11	12.5	4	y	NA
US001.3.e	26	4	US001	3	e	inv	nut def	11	15.5	2.2	y	NA
US022.23.i	26	5	US022	23	i	inv	nut def	14	17.2	2.4	y	NA
RO003.15.g	26	7	RO003	15	g	nat	nut def	13	14.5	4.2	y	NA
RU001.9.b	26	9	RU001	9	b	nat	nut def	15	14.5	3.4	y	NA
RU002.1.c	26	12	RU002	1	c	nat	nut def	16	15	3.6	y	NA
UA003.8.c	26	13	UA003	8	c	nat	nut def	12	23.1	2.6	y	NA
RO002.15.d	26	14	RO002	15	d	nat	nut def	17	15.8	2.8	y	NA
RU008.16.c	26	15	RU008	16	c	nat	nut def	10	17	3.8	y	NA
US002.24.c	26	16	US002	24	c	inv	nut def	16	18.6	4.9	y	NA
RO005.14.j	26	17	RO005	14	j	nat	nut def	12	19.9	4	y	NA
UA006.14.a	26	18	UA006	14	a	nat	nut def	12	18.1	3.8	y	NA
RU005.7.e	26	19	RU005	7	e	nat	nut def	16	17.1	3.7	y	NA
CA001.3.b	26	20	CA001	3	b	inv	nut def	10	16.3	5.1	n	NA
GR001.28.f	26	21	GR001	28	f	nat	nut def	13	18.4	4.2	y	NA
TR001.12.e	26	22	TR001	12	e	nat	nut def	14	18.1	4.6	y	NA
UA005.13.b	26	23	UA005	13	b	nat	nut def	17	15.9	4.2	y	NA
RO001.13.g	26	26	RO001	13	g	nat	nut def	15	20.2	3.7	y	NA
GR002.8.g	26	27	GR002	8	g	nat	nut def	10	16.5	3.4	n	NA
BG001.22.d	26	28	BG001	22	d	nat	nut def	15	17.5	3.6	y	NA
US014.20.a	26	29	US014	20	a	inv	nut def	12	16.3	4.9	y	NA
UA001.11.e	26	30	UA001	11	e	nat	nut def	12	22.4	4.9	y	NA
US023.26.a	26	32	US023	26	a	inv	nut def	12	18.6	5.7	y	NA
UA004.15.a	26	33	UA004	15	a	nat	nut def	16	18	5.1	y	NA
TR005.20.e	26	34	TR005	20	e	nat	nut def	16	18	4.5	y	NA
US020.27.a	26	37	US020	27	a	inv	nut def	31	15	5.1	y	NA
RO004.12.f	26	38	RO004	12	f	nat	nut def	19	19.8	3.8	y	NA
RU003.1.c	26	40	RU003	1	c	nat	nut def	13	18.1	4.6	y	NA
UA002.15.a	26	41	UA002	15	a	nat	nut def	13	18.7	4.8	y	NA
UA008.24.a	26	44	UA008	24	a	nat	nut def	14	14.8	3.2	y	NA
US003.19.h	26	45	US003	19	h	inv	nut def	10	11.5	2.9	y	NA
US012.28.f	26	46	US012	28	f	inv	nut def	12	16	4.4	y	NA
RU004.8.b	26	48	RU004	8	b	nat	nut def	14	14.5	3.5	y	NA
HU001.5.l	26	49	HU001	5	l	nat	nut def	15	15.9	3.7	y	NA
US002.5.f	27	1	US002	5	f	inv	nut def	10	14	4.4	y	NA
GR003.12.a	27	2	GR003	12	a	nat	nut def	14	16.9	2.7	y	NA
BG001.17.g	27	3	BG001	17	g	nat	nut def	18	14.6	3.7	y	NA
TR001.1.b	27	6	TR001	1	b	nat	nut def	11	17.1	3.6	n	NA
US003.20.i	27	9	US003	20	i	inv	nut def	17	18.8	5.1	y	NA
RO004.21.j	27	10	RO004	21	j	nat	nut def	18	17.2	3.4	y	NA
US015.17.b	27	11	US015	17	b	inv	nut def	12	14.3	4.4	y	NA
RO005.14.f	27	12	RO005	14	f	nat	nut def	11	18.6	4.2	y	NA
UA005.18.i	27	13	UA005	18	i	nat	nut def	14	16.4	5.5	y	NA
TR004.27.a	27	15	TR004	27	a	nat	nut def	12	16.3	4.3	y	NA
CA001.7.e	27	16	CA001	7	e	inv	nut def	9	14.2	4.1	y	NA
US022.17.d	27	18	US022	17	d	inv	nut def	15	15.2	5.2	y	NA
RU003.7.b	27	19	RU003	7	b	nat	nut def	14	18.1	3.6	y	NA
CA008.4.c	27	20	CA008	4	c	inv	nut def	15	18.1	6.7	y	NA
US014.22.c	27	21	US014	22	c	inv	nut def	11	17.7	4.8	y	NA
US001.3.f	27	22	US001	3	f	inv	nut def	17	18	6.2	y	NA
RU001.7.a	27	29	RU001	7	a	nat	nut def	15	15	3.5	y	NA
GR002.13.d	27	30	GR002	13	d	nat	nut def	14	16.9	4.6	y	NA
US012.29.h	27	31	US012	29	h	inv	nut def	12	18.5	4.5	y	NA
GR001.6.f	27	32	GR001	6	f	nat	nut def	8	16.6	5.2	y	NA
RO003.11.b	27	34	RO003	11	b	nat	nut def	13	14.5	4.8	y	NA
RU008.17.i	27	35	RU008	17	i	nat	nut def	11	15.3	2.2	y	NA
UA004.27.f	27	36	UA004	27	f	nat	nut def	17	15.4	2.7	y	NA
UA008.18.b	27	38	UA008	18	b	nat	nut def	11	18.6	3.9	n	NA
UA003.6.g	27	43	UA003	6	g	nat	nut def	8	18.5	6.4	y	NA
RO001.21.h	27	46	RO001	21	h	nat	nut def	15	14.1	3.2	y	NA
UA002.15.g	27	48	UA002	15	g	nat	nut def	14	16.5	3.7	y	NA
UA001.18.b	27	49	UA001	18	b	nat	nut def	18	13.6	3.8	y	NA
HU001.14.c	27	50	HU001	14	c	nat	nut def	18	17	4.7	y	NA
TR003.2.b	29	1	TR003	2	b	nat	control	12	15.5	1.2	y	NA
TR004.18.a	29	2	TR004	18	a	nat	control	41	17.5	4.6	y	NA
US021.1.a	29	4	US021	1	a	inv	control	14	19.7	7.1	y	NA
RO001.28.a	29	6	RO001	28	a	nat	control	11	19	5.1	y	NA
UA002.18.c	29	8	UA002	18	c	nat	control	16	24.6	4.8	y	NA
US014.16.i	29	10	US014	16	i	inv	control	14	21.6	5.2	y	NA
RU008.16.b	29	12	RU008	16	b	nat	control	21	19.1	4.9	y	NA
US011.8.c	29	15	US011	8	c	inv	control	17	23	6.6	y	NA
US003.27.g	29	18	US003	27	g	inv	control	11	22	4.5	y	NA
CA001.4.a	29	19	CA001	4	a	inv	control	15	26	4.9	n	NA
RU003.4.b	29	21	RU003	4	b	nat	control	25	22.6	5.2	y	NA
TR001.19.h	29	22	TR001	19	h	nat	control	6	24.6	6.6	n	3.5
TR005.20.c	29	25	TR005	20	c	nat	control	7	19.9	3.1	n	NA
HU001.28.m	29	27	HU001	28	m	nat	control	16	29.5	8.9	y	NA
UA006.14.g	29	29	UA006	14	g	nat	control	11	19.8	4.8	y	NA
BG001.17.f	29	31	BG001	17	f	nat	control	21	25.2	4.6	y	NA
US001.22.c	29	34	US001	22	c	inv	control	14	23.1	6.8	y	NA
GR002.13.a	29	35	GR002	13	a	nat	control	16	34.3	5.3	y	NA
UA008.13.h	29	36	UA008	13	h	nat	control	11	30.6	5.6	y	NA
RO002.13.g	29	37	RO002	13	g	nat	control	15	21.4	5	y	NA
UA005.7.f	29	38	UA005	7	f	nat	control	18	22.5	4.9	y	NA
RO005.25.d	29	40	RO005	25	d	nat	control	11	23.2	4.1	y	NA
UA003.11A.h	29	41	UA003	11A	h	nat	control	16	25	6.3	y	NA
GR003.17.a	29	42	GR003	17	a	nat	control	8	26.1	5.7	y	33.5
UA004.27.b	29	43	UA004	27	b	nat	control	19	29.1	6.5	y	NA
US022.31.c	29	44	US022	31	c	inv	control	18	24.8	5.7	y	NA
RO004.13.g	29	45	RO004	13	g	nat	control	17	31	4.9	y	NA
RO003.4.i	29	47	RO003	4	i	nat	control	22	21.8	4.3	y	NA
RU001.7.f	29	48	RU001	7	f	nat	control	19	25.2	4.7	y	NA
US002.1.j	29	49	US002	1	j	inv	control	19	22.4	3.5	y	NA
TR004.8.g	30	1	TR004	8	g	nat	control	24	20	4.2	y	NA
GR001.24.f	30	2	GR001	24	f	nat	control	13	17.8	4.6	n	NA
RO001.6.e	30	3	RO001	6	e	nat	control	16	20	4.9	y	NA
GR003.9.c	30	6	GR003	9	c	nat	control	17	21.9	4.5	n	NA
TR005.18.d	30	8	TR005	18	d	nat	control	18	23	5	n	NA
RU001.9.c	30	9	RU001	9	c	nat	control	18	27	4.6	y	NA
RO002.12.b	30	10	RO002	12	b	nat	control	13	22.9	3.7	y	NA
US001.20.h	30	15	US001	20	h	inv	control	18	18.4	5.3	y	NA
US021.3.b	30	16	US021	3	b	inv	control	16	31.4	5.7	y	NA
HU001.24.i	30	18	HU001	24	i	nat	control	14	33.3	5.9	n	NA
UA004.15.b	30	19	UA004	15	b	nat	control	24	20.6	3.6	y	NA
GR002.2.g	30	20	GR002	2	g	nat	control	14	23.1	3.8	y	NA
RO005.25.b	30	21	RO005	25	b	nat	control	23	20.6	6.4	n	NA
BG001.22.f	30	25	BG001	22	f	nat	control	28	22.7	3.4	y	NA
RU008.21.g	30	27	RU008	21	g	nat	control	23	25.1	4.4	y	NA
RO004.13.i	30	28	RO004	13	i	nat	control	19	24.3	5.6	y	NA
RO003.11.g	30	29	RO003	11	g	nat	control	15	23.3	4	y	NA
US022.23.f	30	33	US022	23	f	inv	control	22	20.3	4.6	y	NA
RU002.2.a	30	36	RU002	2	a	nat	control	18	27.2	5.4	y	NA
US015.13.f	30	37	US015	13	f	inv	control	18	26.6	4.5	n	NA
US003.6.a	30	39	US003	6	a	inv	control	13	32.5	3.2	y	NA
UA001.22.g	30	40	UA001	22	g	nat	control	14	30.1	4.2	n	NA
CA008.6.a	30	43	CA008	6	a	inv	control	12	15.1	4.8	n	NA
CA001.4.g	30	45	CA001	4	g	inv	control	15	19.5	2.8	y	NA
TR001.10.b	30	46	TR001	10	b	nat	control	15	24.9	4.7	n	NA
US002.1.b	30	48	US002	1	b	inv	control	19	23.5	2.8	y	NA
UA003.11A.g	30	49	UA003	11A	g	nat	control	12	31.9	3.9	y	NA
US014.17.b	30	50	US014	17	b	inv	control	17	21	3.9	n	NA
RU002.1.f	33	1	RU002	1	f	nat	cut	26	NA	NA	n	NA
RO005.15.i	33	2	RO005	15	i	nat	cut	15	NA	NA	n	NA
GR001.14.i	33	4	GR001	14	i	nat	cut	13	NA	NA	n	NA
TR004.14.i	33	7	TR004	14	i	nat	cut	12	NA	NA	n	NA
RU008.19.b	33	8	RU008	19	b	nat	cut	20	NA	NA	n	NA
RU001.2.g	33	10	RU001	2	g	nat	cut	21	NA	NA	n	NA
CA001.6.a	33	11	CA001	6	a	inv	cut	18	NA	NA	n	NA
BG001.25.f	33	12	BG001	25	f	nat	cut	19	NA	NA	n	NA
US014.16.f	33	14	US014	16	f	inv	cut	14	NA	NA	n	NA
US001.22.h	33	17	US001	22	h	inv	cut	22	NA	NA	n	NA
UA005.15.e	33	20	UA005	15	e	nat	cut	14	NA	NA	n	NA
US026.35.a	33	21	US026	35	a	inv	cut	12	NA	NA	n	NA
TR001.12.c	33	23	TR001	12	c	nat	cut	15	NA	NA	n	NA
RO003.9.d	33	24	RO003	9	d	nat	cut	17	NA	NA	n	NA
RU003.3.d	33	25	RU003	3	d	nat	cut	18	NA	NA	n	NA
RU004.6.b	33	26	RU004	6	b	nat	cut	17	NA	NA	n 	NA
RO001.13.i	33	27	RO001	13	i	nat	cut	16	NA	NA	n	NA
UA003.7A.e	33	28	UA003	7A	e	nat	cut	13	NA	NA	n	NA
UA004.27.g	33	29	UA004	27	g	nat	cut	19	NA	NA	n	NA
GR003.10.d	33	30	GR003	10	d	nat	cut	16	NA	NA	n	NA
RO002.12.g	33	32	RO002	12	g	nat	cut	16	NA	NA	n	NA
RO004.13.h	33	33	RO004	13	h	nat	cut	22	NA	NA	n	NA
TR003.6.a	33	35	TR003	6	a	nat	cut	12	NA	NA	n	NA
US002.22.a	33	39	US002	22	a	inv	cut	18	NA	NA	n	NA
UA008.25.h	33	41	UA008	25	h	nat	cut	13	NA	NA	n	NA
HU001.14.d	33	44	HU001	14	d	nat	cut	21	NA	NA	n	NA
US012.28.e	33	46	US012	28	e	inv	cut	8	NA	NA	n	NA
US003.20.g	33	47	US003	20	g	inv	cut	16	NA	NA	n	NA
CA008.4.b	33	49	CA008	4	b	inv	cut	17	NA	NA	n	NA
GR002.8.a	33	50	GR002	8	a	nat	cut	16	NA	NA	n	NA
US003.27.b	34	1	US003	27	b	inv	control	15	20.4	5.9	n	NA
UA005.7.d	34	3	UA005	7	d	nat	control	16	22.7	4.6	n	8.3
RU008.21.e	34	4	RU008	21	e	nat	control	19	22.4	5.3	y	NA
TR003.24.c	34	7	TR003	24	c	nat	control	6	18.7	2.4	n	NA
UA003.8.j	34	8	UA003	8	j	nat	control	17	37.9	5.5	y	NA
US002.22.d	34	14	US002	22	d	inv	control	18	17.5	6.2	y	NA
TR001.12.f	34	15	TR001	12	f	nat	control	12	21.2	6.3	y	NA
US015.3.e	34	17	US015	3	e	inv	control	17	22.7	5.1	y	NA
UA004.7.h	34	18	UA004	7	h	nat	control	20	24.8	6.8	y	NA
GR001.28.g	34	20	GR001	28	g	nat	control	7	20	3.8	y	21
UA006.14.d	34	21	UA006	14	d	nat	control	17	19.9	4.9	y	NA
UA001.11.f	34	23	UA001	11	f	nat	control	15	26.4	5.1	y	NA
UA008.13.g	34	25	UA008	13	g	nat	control	12	24	5.6	y	NA
RO005.23.h	34	33	RO005	23	h	nat	control	17	20.9	5.1	y	NA
US022.23.h	34	35	US022	23	h	inv	control	11	18.7	5.1	y	NA
GR002.13.b	34	36	GR002	13	b	nat	control	12	21.6	3.7	n	NA
RO001.28.c	34	37	RO001	28	c	nat	control	15	17.9	5.8	y	NA
RU001.7.h	34	38	RU001	7	h	nat	control	12	22.9	5.7	n	NA
BG001.17.e	34	39	BG001	17	e	nat	control	16	23.8	4.7	y	NA
HU001.14.b	34	40	HU001	14	b	nat	control	16	25.5	8.7	y	NA
RO003.9.i	34	41	RO003	9	i	nat	control	15	15.4	3.5	y	NA
CA001.6.e	34	42	CA001	6	e	inv	control	15	18.2	4.9	y	NA
GR003.12.i	34	43	GR003	12	i	nat	control	13	21.2	4.1	y	NA
RO002.15.i	34	46	RO002	15	i	nat	control	16	15	4.1	y	NA
RO004.21.c	34	49	RO004	21	c	nat	control	18	16.6	2.8	n	NA
US001.14.j	34	50	US001	14	j	inv	control	14	15.2	4.5	n	NA
RO002.22.a	36	1	RO002	22	a	nat	nut def	15	14	5.9	y	NA
US003.6.b	36	4	US003	6	b	inv	nut def	11	21.4	6.1	y	NA
TR005.18.g	36	5	TR005	18	g	nat	nut def	11	21.7	4.6	y	NA
US014.20.b	36	6	US014	20	b	inv	nut def	12	17.4	4.6	y	NA
UA008.13.j	36	7	UA008	13	j	nat	nut def	9	20.5	4.2	y	NA
UA004.5.d	36	8	UA004	5	d	nat	nut def	18	18.2	4.2	y	NA
RU008.19.i	36	9	RU008	19	i	nat	nut def	17	16.6	4.1	y	NA
US020.42.d	36	10	US020	42	d	inv	nut def	12	17.3	3.9	y	NA
CA001.3.a	36	11	CA001	3	a	inv	nut def	15	21	6.2	y	NA
BG001.17.b	36	13	BG001	17	b	nat	nut def	17	16.8	4.6	y	NA
GR002.25.a	36	14	GR002	25	a	nat	nut def	12	18	4.2	y	NA
HU001.5.c	36	16	HU001	5	c	nat	nut def	16	19.2	4.4	y	NA
RO001.21.g	36	17	RO001	21	g	nat	nut def	12	21.8	4.8	y	NA
US026.15.a	36	19	US026	15	a	inv	nut def	14	17.4	4.3	y	NA
RO005.15.f	36	22	RO005	15	f	nat	nut def	17	19.5	2.9	y	NA
US018.5.a	36	23	US018	5	a	inv	nut def	14	19.3	4.8	y	NA
CA008.4.j	36	24	CA008	4	j	inv	nut def	15	21.1	5.2	y	NA
TR004.14.j	36	25	TR004	14	j	nat	nut def	9	16.9	2.8	y	NA
UA003.11A.i	36	26	UA003	11A	i	nat	nut def	8	22	4.1	y	NA
GR003.17.c	36	27	GR003	17	c	nat	nut def	4	18.7	4	y	40.2
US002.22.h	36	28	US002	22	h	inv	nut def	17	17.5	3.9	y	NA
RO004.12.i	36	30	RO004	12	i	nat	nut def	16	20.1	3.4	y	NA
US015.17.f	36	31	US015	17	f	inv	nut def	15	14.1	4.5	y	NA
US001.22.b	36	32	US001	22	b	inv	nut def	14	20.6	5.2	y	NA
UA005.7.i	36	34	UA005	7	i	nat	nut def	13	18.3	4.6	y	NA
GR001.6.d	36	35	GR001	6	d	nat	nut def	10	20	5.1	y	NA
RU001.7.g	36	37	RU001	7	g	nat	nut def	16	14.4	6.6	y	NA
UA007.19.d	36	39	UA007	19	d	nat	nut def	12	15.2	5.9	y	NA
UA006.24.b	36	40	UA006	24	b	nat	nut def	11	20.4	4.1	y	NA
RU004.6.d	36	41	RU004	6	d	nat	nut def	11	18.5	4.1	y	NA
RO003.11.c	36	42	RO003	11	c	nat	nut def	12	13.3	2.9	y	NA
TR001.10.d	36	43	TR001	10	d	nat	nut def	13	22.1	4.1	y	NA
US022.17.c	36	44	US022	17	c	inv	nut def	16	19.5	4.3	y	NA
TR003.24.e	36	45	TR003	24	e	nat	nut def	11	12.8	2.6	y	NA
TR001.12.a	38	2	TR001	12	a	nat	cut	18	NA	NA	n	NA
CA001.4.j	38	4	CA001	4	j	inv	cut	16	NA	NA	n	NA
UA003.9A.f	38	5	UA003	9A	f	nat	cut	16	NA	NA	n	NA
GR002.13.j	38	7	GR002	13	j	nat	cut	17	NA	NA	n	NA
RO003.11.f	38	9	RO003	11	f	nat	cut	18	NA	NA	n	NA
UA005.7.e	38	11	UA005	7	e	nat	cut	19	NA	NA	n	NA
TR004.8.i	38	13	TR004	8	i	nat	cut	13	NA	NA		NA
UA001.11.a	38	15	UA001	11	a	nat	cut	19	NA	NA	n	NA
